batting_team,striker,batter_labels,matches,balls_faced,runs_off_bat,50s,100s,dismissals,strike_rate,batting_average,matches_played
Central Sparks,AE Jones,AE Jones (Central Sparks),5,311,320,0,2,4,77.83,80.0,1-5
Central Sparks,Anisha Patel,Anisha Patel (Central Sparks),3,10,4,0,0,2,51.11,2.0,1-5
Central Sparks,CAE Hill,CAE Hill (Central Sparks),6,160,83,0,0,4,61.42,20.75,6-10
Central Sparks,CK Boycott,CK Boycott (Central Sparks),7,214,101,0,0,6,49.4,16.83,6-10
Central Sparks,D Perrin,D Perrin (Central Sparks),4,128,92,0,0,4,63.69,23.0,1-5
Central Sparks,E Jones,E Jones (Central Sparks),14,980,633,4,2,12,55.05,52.75,>=11
Central Sparks,EA Russell,EA Russell (Central Sparks),5,13,12,0,0,3,68.67,4.0,1-5
Central Sparks,EL Arlott,EL Arlott (Central Sparks),8,144,108,0,0,5,71.68,21.6,6-10
Central Sparks,GK Davis,GK Davis (Central Sparks),4,39,24,0,0,3,74.26,8.0,1-5
Central Sparks,GM Davies,GM Davies (Central Sparks),14,566,362,2,0,14,46.88,25.86,>=11
Central Sparks,HL Baker,HL Baker (Central Sparks),1,8,5,0,0,1,62.5,5.0,1-5
Central Sparks,IECM Wong,IECM Wong (Central Sparks),9,72,57,0,0,8,64.18,7.12,6-10
Central Sparks,M Home,M Home (Central Sparks),7,135,50,0,0,7,27.18,7.14,6-10
Central Sparks,Marie Kelly,Marie Kelly (Central Sparks),13,640,405,4,0,11,52.95,36.82,>=11
Central Sparks,P Davies,P Davies (Central Sparks),5,111,47,0,0,3,33.41,15.67,1-5
Central Sparks,RA Fackrell (CF),RA Fackrell (Central Sparks),7,139,75,0,0,6,56.56,12.5,6-10
Central Sparks,S Butler,S Butler (Central Sparks),4,126,57,0,0,4,37.36,14.25,1-5
Central Sparks,S Glenn,S Glenn (Central Sparks),6,153,141,1,0,5,60.94,28.2,6-10
Central Sparks,TF Brookes,TF Brookes (Central Sparks),6,161,100,0,0,4,60.33,25.0,6-10
Lightning,AD Presland,AD Presland (Lightning),2,25,9,0,0,1,37.84,9.0,1-5
Lightning,AJ Freeborn,AJ Freeborn (Lightning),12,440,272,0,0,12,53.74,22.67,>=11
Lightning,B Ellis,B Ellis (Lightning),7,218,124,1,0,7,49.11,17.71,6-10
Lightning,B Harmer,B Harmer (Lightning),3,28,21,0,0,3,68.05,7.0,1-5
Lightning,E Claridge,E Claridge (Lightning),3,66,46,0,0,2,44.48,23.0,1-5
Lightning,G Ballinger,G Ballinger (Lightning),4,35,29,0,0,3,72.12,9.67,1-5
Lightning,Ilenia Sims,Ilenia Sims (Lightning),1,7,1,0,0,0,14.29,,1-5
Lightning,J Groves,J Groves (Lightning),1,3,2,0,0,0,66.67,,1-5
Lightning,KE Bryce,KE Bryce (Lightning),13,674,494,3,1,12,58.93,41.17,>=11
