bowler,bowling_team,overcounts,overs_bowled,wicketcounts,wickets_taken,econ_rate,bowling_average,bowler_strikerate
A Capsey,South East Stars,69.0,31 - 70,7,<= 10,4.62,21.1,31.8
A Griffiths,Western Storm,39.0,31 - 70,3,<= 10,5.32,21.25,28.5
A Hartley,Thunder,123.0,>= 71,21,>= 21,3.85,18.9,28.8
A Shrubsole,Western Storm,38.0,31 - 70,4,<= 10,3.76,22.34,40.0
AD Presland,Lightning,27.0,11 - 30,5,<= 10,4.73,24.89,30.67
AE Dyson,Thunder,33.0,31 - 70,4,<= 10,5.72,34.67,34.0
AG Gordon,South East Stars,18.0,11 - 30,1,<= 10,5.08,22.0,24.0
AJ Macleod,Sunrisers,46.0,31 - 70,6,<= 10,5.93,22.6,27.6
AL MacDonald,Northern Diamonds,26.0,11 - 30,4,<= 10,4.35,21.83,36.0
AN Davidson-Richards,South East Stars,44.0,31 - 70,5,<= 10,6.12,18.5,21.0
AZ Monaghan,Southern Vipers,6.0,<= 10,1,<= 10,5.5,13.0,12.0
Anisha Patel,Central Sparks,50.0,31 - 70,9,<= 10,5.18,23.77,35.2
B Ellis,Lightning,50.0,31 - 70,6,<= 10,4.95,19.78,29.33
BA Langston,Northern Diamonds,133.0,>= 71,25,>= 21,3.81,19.69,29.31
BF Smith,South East Stars,65.0,31 - 70,16,11 - 20,4.7,19.6,29.38
C Brewer,South East Stars,8.0,<= 10,1,<= 10,4.75,26.0,24.0
C Nicholas,Western Storm,40.0,31 - 70,5,<= 10,4.21,29.25,42.75
C Skelton,Western Storm,6.0,<= 10,,,5.84,,
CE Dean,Southern Vipers,98.0,>= 71,19,11 - 20,4.31,18.56,28.67
CK Boycott,Central Sparks,62.0,31 - 70,8,<= 10,4.81,17.75,21.75
CM Taylor,Southern Vipers,116.0,>= 71,28,>= 21,3.53,18.92,35.0
D Gregory,South East Stars,72.0,>= 71,11,11 - 20,4.28,19.11,30.33
D Perrin,Central Sparks,1.0,<= 10,,,10.0,,
DN Wyatt,Southern Vipers,19.0,11 - 30,4,<= 10,4.43,11.16,19.0
DR Gibson,Western Storm,38.0,31 - 70,3,<= 10,6.87,27.5,27.0
E Corney,Western Storm,20.0,11 - 30,2,<= 10,4.41,19.5,30.0
E Gray,South East Stars,11.0,11 - 30,2,<= 10,5.23,16.5,21.0
E Jones,Central Sparks,20.0,11 - 30,3,<= 10,6.12,7.75,12.0
E Thorpe,Sunrisers,16.0,11 - 30,,,7.11,,
E Windsor,Southern Vipers,5.0,<= 10,,,3.0,,
EA Russell,Central Sparks,70.0,31 - 70,10,<= 10,4.72,28.58,36.25
EF Telford,Northern Diamonds,14.0,11 - 30,,,7.47,,
EL Arlott,Central Sparks,104.0,>= 71,14,11 - 20,4.55,31.54,41.32
EL Lamb,Thunder,44.0,31 - 70,3,<= 10,4.53,27.0,40.0
EM Edgcombe,Western Storm,14.0,11 - 30,1,<= 10,5.11,39.0,48.0
Emma Jones,South East Stars,7.0,<= 10,1,<= 10,5.16,16.0,18.0
FMK Morris,Western Storm,94.0,>= 71,16,11 - 20,5.11,27.9,36.25
FR Davies,South East Stars,49.0,31 - 70,3,<= 10,4.31,42.67,52.0
G Ballinger,Lightning,37.0,31 - 70,4,<= 10,5.91,43.67,42.0
G Scrivens,Sunrisers,73.0,>= 71,7,<= 10,5.38,38.29,48.0
GA Elwiss,Southern Vipers,54.0,31 - 70,5,<= 10,4.66,41.6,55.2
GEB Boyce,Thunder,1.0,<= 10,,,10.0,,
GJ Gibbs,South East Stars,41.0,31 - 70,4,<= 10,6.83,23.67,32.0
GK Davis,Central Sparks,59.0,31 - 70,13,11 - 20,3.94,27.7,38.83
GKS Gole,Sunrisers,27.0,11 - 30,1,<= 10,6.35,31.0,24.0
GL Adams,Southern Vipers,78.0,>= 71,19,11 - 20,4.28,15.86,22.55
GM Hennessy,Western Storm,111.0,>= 71,20,11 - 20,4.78,24.31,32.35
HC Knight,Western Storm,23.0,11 - 30,3,<= 10,6.15,24.0,30.0
HE Jones,Thunder,93.0,>= 71,18,11 - 20,4.1,21.01,30.09
HJ Armitage,Northern Diamonds,52.0,31 - 70,8,<= 10,5.01,13.12,21.75
HL Baker,Central Sparks,20.0,11 - 30,4,<= 10,3.75,28.84,40.0
HL Fenby,Northern Diamonds,11.0,11 - 30,,,6.3,,
HV Jones,South East Stars,53.0,31 - 70,7,<= 10,4.63,24.62,36.75
IECM Wong,Central Sparks,86.0,>= 71,17,11 - 20,5.06,20.69,31.14
J Gardner,Sunrisers,62.0,31 - 70,8,<= 10,6.26,30.08,35.5
J Groves,Lightning,8.0,<= 10,,,7.38,,
J Roberts,Western Storm,3.0,<= 10,,,5.0,,
JL Gunn,Northern Diamonds,91.0,>= 71,17,11 - 20,4.15,21.35,31.22
K Moore,South East Stars,13.0,11 - 30,2,<= 10,4.89,23.0,30.0
KA Levick,Northern Diamonds,120.0,>= 71,23,>= 21,3.67,20.47,36.69
KE Bryce,Lightning,119.0,>= 71,24,>= 21,3.84,26.66,39.45
KH Brunt,Northern Diamonds,45.0,31 - 70,15,11 - 20,2.83,13.38,24.56
KJ Wolfe,Sunrisers,45.0,31 - 70,7,<= 10,4.78,27.0,35.4
KL Coppack,Sunrisers,34.0,31 - 70,3,<= 10,5.19,37.0,38.0
KL Cross,Thunder,56.0,31 - 70,10,<= 10,4.38,24.2,34.0
KL George,Western Storm,16.0,11 - 30,2,<= 10,3.63,29.0,48.0
KL Gordon,Lightning,99.0,>= 71,19,11 - 20,3.51,19.1,31.75
KL Midwood,Sunrisers,47.0,31 - 70,3,<= 10,4.93,29.25,39.0
KS Castle,Sunrisers,61.0,31 - 70,11,11 - 20,4.96,21.98,30.57
L Filer,Western Storm,51.0,31 - 70,8,<= 10,5.93,26.75,29.0
L Heap,Thunder,25.0,11 - 30,6,<= 10,5.74,27.33,27.5
L Jackson,Thunder,44.0,31 - 70,6,<= 10,3.94,11.72,25.0
L Tipton,Northern Diamonds,2.0,<= 10,,,6.0,,
LA Parfitt,Western Storm,3.0,<= 10,,,5.67,,
LCN Smith,Northern Diamonds,104.0,>= 71,16,11 - 20,3.56,18.29,34.5
LF Higham,Lightning,76.0,>= 71,13,11 - 20,5.56,15.67,26.17
LG Kellogg,Lightning,10.0,<= 10,2,<= 10,5.44,22.5,30.0
LK Bell,Southern Vipers,89.0,>= 71,16,11 - 20,4.38,24.35,32.12
ME Bouchier,Southern Vipers,23.0,11 - 30,2,<= 10,5.01,16.5,18.0
MJ Robbins,Western Storm,9.0,<= 10,,,7.97,,
MK Villiers,Sunrisers,50.0,31 - 70,6,<= 10,5.06,28.06,36.67
MS Belt,South East Stars,17.0,11 - 30,2,<= 10,4.94,41.0,51.0
Marie Kelly,Central Sparks,2.0,<= 10,1,<= 10,4.5,9.0,12.0
N Brown,Thunder,53.0,31 - 70,5,<= 10,4.91,39.0,43.2
N Harman,Lightning,24.0,11 - 30,2,<= 10,5.69,27.0,27.0
N Harvey,Western Storm,40.0,31 - 70,6,<= 10,4.51,19.0,26.0
N Holland,Western Storm,6.0,<= 10,1,<= 10,6.12,21.0,24.0
ND Dattani,Sunrisers,48.0,31 - 70,3,<= 10,6.94,30.0,34.5
NE Farrant,South East Stars,80.0,>= 71,18,11 - 20,3.81,21.01,34.08
NR Sciver,Northern Diamonds,39.0,31 - 70,4,<= 10,3.66,13.5,30.0
Olivia Thomas,Thunder,4.0,<= 10,1,<= 10,7.25,29.0,24.0
P Cleary,Thunder,31.0,31 - 70,2,<= 10,5.17,48.0,54.0
PA Franklin,South East Stars,21.0,11 - 30,4,<= 10,4.58,19.0,32.0
PAC Cowdrill,Southern Vipers,15.0,11 - 30,3,<= 10,4.19,7.75,16.5
PC Graham,Northern Diamonds,87.0,>= 71,8,<= 10,4.74,29.23,38.2
PJ Scholfield,Southern Vipers,73.0,>= 71,15,11 - 20,4.33,21.43,31.33
R MacDonald-Gay,South East Stars,13.0,11 - 30,2,<= 10,3.47,15.5,27.0
R Slater,Northern Diamonds,22.0,11 - 30,2,<= 10,4.36,19.5,24.0
RA Fackrell,Central Sparks,47.0,31 - 70,11,11 - 20,5.53,10.04,14.88
S Butler,Central Sparks,21.0,11 - 30,2,<= 10,6.47,23.0,18.0
S Ecclestone,Thunder,48.0,31 - 70,12,11 - 20,3.28,12.57,24.8
S Glenn,Central Sparks,53.0,31 - 70,7,<= 10,3.66,22.0,43.2
S Hutchins,Western Storm,36.0,31 - 70,5,<= 10,4.59,27.12,41.25
S Munro,Lightning,78.0,>= 71,10,<= 10,4.98,22.69,34.5
SB Odedra,Lightning,13.0,11 - 30,2,<= 10,5.98,28.0,27.0
SIR Dunkley,South East Stars,15.0,11 - 30,3,<= 10,4.06,22.0,33.0
SN Luff,Western Storm,6.0,<= 10,1,<= 10,7.38,27.0,24.0
Sonali Patel,Sunrisers,58.0,31 - 70,14,11 - 20,5.7,18.72,24.58
T Graves,Lightning,54.0,31 - 70,12,11 - 20,4.26,15.12,22.5
TF Brookes,Central Sparks,10.0,<= 10,2,<= 10,4.3,21.5,30.0
TG Norris,Southern Vipers,114.0,>= 71,23,>= 21,4.94,22.48,26.2
Y Graves,Lightning,38.0,31 - 70,6,<= 10,4.78,22.33,30.5
,,,,,,,,
