match_id,batting_team,partnership,net_runs,batter1,batter1_runs,batter2,batter2_runs,innings,from_node,to_node,Winner
1229326,Sunrisers,AJ Macleod & MK Villiers,3.0,AJ Macleod,2.0,MK Villiers,0.0,1.0,MK Villiers,AJ Macleod,Southern Vipers
1229326,Sunrisers,FC Wilson & KL Midwood,5.0,FC Wilson,0.0,KL Midwood,5.0,1.0,FC Wilson,KL Midwood,Southern Vipers
1229326,Sunrisers,FC Wilson & ND Dattani,15.0,FC Wilson,11.0,ND Dattani,2.0,1.0,ND Dattani,FC Wilson,Southern Vipers
1229326,Sunrisers,G Scrivens & MK Villiers,21.0,G Scrivens,8.0,MK Villiers,10.0,1.0,G Scrivens,MK Villiers,Southern Vipers
1229326,Sunrisers,KJ Wolfe & KS Castle,10.0,KJ Wolfe,2.0,KS Castle,3.0,1.0,KJ Wolfe,KS Castle,Southern Vipers
1229326,Sunrisers,KL Midwood & AD Carr,10.0,KL Midwood,1.0,AD Carr,4.0,1.0,KL Midwood,AD Carr,Southern Vipers
1229326,Sunrisers,KS Castle & Sonali Patel,10.0,KS Castle,5.0,Sonali Patel,3.0,1.0,Sonali Patel,KS Castle,Southern Vipers
1229326,Sunrisers,MK Villiers & J Gardner,33.0,MK Villiers,16.0,J Gardner,13.0,1.0,J Gardner,MK Villiers,Southern Vipers
1229326,Sunrisers,MK Villiers & ND Dattani,92.0,MK Villiers,36.0,ND Dattani,40.0,1.0,MK Villiers,ND Dattani,Southern Vipers
1229326,Sunrisers,Sonali Patel & MK Villiers,3.0,Sonali Patel,1.0,MK Villiers,2.0,1.0,Sonali Patel,MK Villiers,Southern Vipers
1229326,Southern Vipers,GL Adams & DN Wyatt,111.0,GL Adams,37.0,DN Wyatt,54.0,2.0,GL Adams,DN Wyatt,Southern Vipers
1229326,Southern Vipers,ME Bouchier & CE Dean,40.0,ME Bouchier,16.0,CE Dean,23.0,2.0,ME Bouchier,CE Dean,Southern Vipers
1229326,Southern Vipers,ME Bouchier & DN Wyatt,29.0,ME Bouchier,17.0,DN Wyatt,12.0,2.0,DN Wyatt,ME Bouchier,Southern Vipers
1229326,Southern Vipers,PJ Scholfield & CE Dean,28.0,PJ Scholfield,23.0,CE Dean,4.0,2.0,CE Dean,PJ Scholfield,Southern Vipers
1229330,Southern Vipers,CE Dean & CE Rudd,21.0,CE Dean,12.0,CE Rudd,5.0,1.0,CE Rudd,CE Dean,Southern Vipers
1229330,Southern Vipers,E Windsor & CE Dean,26.0,E Windsor,14.0,CE Dean,11.0,1.0,CE Dean,E Windsor,Southern Vipers
1229330,Southern Vipers,EM McCaughan & CE Dean,12.0,EM McCaughan,5.0,CE Dean,7.0,1.0,EM McCaughan,CE Dean,Southern Vipers
1229330,Southern Vipers,GL Adams & CE Dean,10.0,GL Adams,3.0,CE Dean,4.0,1.0,GL Adams,CE Dean,Southern Vipers
1229330,Southern Vipers,GL Adams & DN Wyatt,105.0,GL Adams,36.0,DN Wyatt,53.0,1.0,GL Adams,DN Wyatt,Southern Vipers
1229330,Southern Vipers,ME Bouchier & GL Adams,34.0,ME Bouchier,16.0,GL Adams,16.0,1.0,ME Bouchier,GL Adams,Southern Vipers
1229330,Southern Vipers,PJ Scholfield & CE Dean,24.0,PJ Scholfield,9.0,CE Dean,9.0,1.0,PJ Scholfield,CE Dean,Southern Vipers
