match_id,season,start_date,innings,batting_team,bowling_team,partnership,runs_off_bat,net_runs,batter1,batter1_runs,batter2,batter2_runs,message,partner_labels
1229326,2020,29-08-2020,1,Sunrisers,Southern Vipers,AJ Macleod & MK Villiers,2,3,AJ Macleod,2,MK Villiers,0,vs Southern Vipers (29-08-2020),AJ Macleod & MK Villiers (Sunrisers)
1229326,2020,29-08-2020,1,Sunrisers,Southern Vipers,FC Wilson & KL Midwood,5,5,FC Wilson,0,KL Midwood,5,vs Southern Vipers (29-08-2020),FC Wilson & KL Midwood (Sunrisers)
1229326,2020,29-08-2020,1,Sunrisers,Southern Vipers,FC Wilson & ND Dattani,13,15,FC Wilson,11,ND Dattani,2,vs Southern Vipers (29-08-2020),FC Wilson & ND Dattani (Sunrisers)
1229326,2020,29-08-2020,1,Sunrisers,Southern Vipers,G Scrivens & MK Villiers,18,21,G Scrivens,8,MK Villiers,10,vs Southern Vipers (29-08-2020),G Scrivens & MK Villiers (Sunrisers)
1229326,2020,29-08-2020,1,Sunrisers,Southern Vipers,KJ Wolfe & KS Castle,5,10,KJ Wolfe,2,KS Castle,3,vs Southern Vipers (29-08-2020),KJ Wolfe & KS Castle (Sunrisers)
1229326,2020,29-08-2020,1,Sunrisers,Southern Vipers,KL Midwood & AD Carr,5,10,KL Midwood,1,AD Carr,4,vs Southern Vipers (29-08-2020),KL Midwood & AD Carr (Sunrisers)
1229326,2020,29-08-2020,1,Sunrisers,Southern Vipers,KS Castle & Sonali Patel,8,10,KS Castle,5,Sonali Patel,3,vs Southern Vipers (29-08-2020),KS Castle & Sonali Patel (Sunrisers)
1229326,2020,29-08-2020,1,Sunrisers,Southern Vipers,MK Villiers & J Gardner,29,33,MK Villiers,16,J Gardner,13,vs Southern Vipers (29-08-2020),MK Villiers & J Gardner (Sunrisers)
1229326,2020,29-08-2020,1,Sunrisers,Southern Vipers,MK Villiers & ND Dattani,76,92,MK Villiers,36,ND Dattani,40,vs Southern Vipers (29-08-2020),MK Villiers & ND Dattani (Sunrisers)
1229326,2020,29-08-2020,1,Sunrisers,Southern Vipers,Sonali Patel & MK Villiers,3,3,Sonali Patel,1,MK Villiers,2,vs Southern Vipers (29-08-2020),Sonali Patel & MK Villiers (Sunrisers)
1229326,2020,29-08-2020,2,Southern Vipers,Sunrisers,GL Adams & DN Wyatt,91,111,GL Adams,37,DN Wyatt,54,vs Sunrisers (29-08-2020),GL Adams & DN Wyatt (Southern Vipers)
1229326,2020,29-08-2020,2,Southern Vipers,Sunrisers,ME Bouchier & CE Dean,39,40,ME Bouchier,16,CE Dean,23,vs Sunrisers (29-08-2020),ME Bouchier & CE Dean (Southern Vipers)
1229326,2020,29-08-2020,2,Southern Vipers,Sunrisers,ME Bouchier & DN Wyatt,29,29,ME Bouchier,17,DN Wyatt,12,vs Sunrisers (29-08-2020),ME Bouchier & DN Wyatt (Southern Vipers)
1229326,2020,29-08-2020,2,Southern Vipers,Sunrisers,PJ Scholfield & CE Dean,27,28,PJ Scholfield,23,CE Dean,4,vs Sunrisers (29-08-2020),PJ Scholfield & CE Dean (Southern Vipers)
1229329,2020,29-08-2020,1,South East Stars,Western Storm,A Capsey & A Cranstone,23,26,A Capsey,12,A Cranstone,11,vs Western Storm (29-08-2020),A Capsey & A Cranstone (South East Stars)
1229329,2020,29-08-2020,1,South East Stars,Western Storm,A Cranstone & AN Davidson-Richards,9,9,A Cranstone,3,AN Davidson-Richards,6,vs Western Storm (29-08-2020),A Cranstone & AN Davidson-Richards (South East Stars)
1229329,2020,29-08-2020,1,South East Stars,Western Storm,BF Smith & A Capsey,6,7,BF Smith,5,A Capsey,1,vs Western Storm (29-08-2020),BF Smith & A Capsey (South East Stars)
1229329,2020,29-08-2020,1,South East Stars,Western Storm,FR Davies & NE Farrant,40,49,FR Davies,12,NE Farrant,28,vs Western Storm (29-08-2020),FR Davies & NE Farrant (South East Stars)
1229329,2020,29-08-2020,1,South East Stars,Western Storm,GJ Gibbs & NE Farrant,4,4,GJ Gibbs,1,NE Farrant,3,vs Western Storm (29-08-2020),GJ Gibbs & NE Farrant (South East Stars)
1229329,2020,29-08-2020,1,South East Stars,Western Storm,HV Jones & SE Rowe,44,47,HV Jones,16,SE Rowe,28,vs Western Storm (29-08-2020),HV Jones & SE Rowe (South East Stars)
1229329,2020,29-08-2020,1,South East Stars,Western Storm,NE Farrant & SE Rowe,7,7,NE Farrant,4,SE Rowe,3,vs Western Storm (29-08-2020),NE Farrant & SE Rowe (South East Stars)
1229329,2020,29-08-2020,1,South East Stars,Western Storm,R Southby & NE Farrant,4,4,R Southby,2,NE Farrant,2,vs Western Storm (29-08-2020),R Southby & NE Farrant (South East Stars)
1229329,2020,29-08-2020,1,South East Stars,Western Storm,SE Rowe & A Cranstone,7,8,SE Rowe,7,A Cranstone,0,vs Western Storm (29-08-2020),SE Rowe & A Cranstone (South East Stars)
1229329,2020,29-08-2020,1,South East Stars,Western Storm,SIR Dunkley & A Cranstone,5,5,SIR Dunkley,5,A Cranstone,0,vs Western Storm (29-08-2020),SIR Dunkley & A Cranstone (South East Stars)
1229329,2020,29-08-2020,2,Western Storm,South East Stars,HC Knight & FMK Morris,71,78,HC Knight,44,FMK Morris,27,vs South East Stars (29-08-2020),HC Knight & FMK Morris (Western Storm)
1229329,2020,29-08-2020,2,Western Storm,South East Stars,HC Knight & GM Hennessy,18,18,HC Knight,12,GM Hennessy,6,vs South East Stars (29-08-2020),HC Knight & GM Hennessy (Western Storm)
1229329,2020,29-08-2020,2,Western Storm,South East Stars,HC Knight & SN Luff,25,26,HC Knight,17,SN Luff,8,vs South East Stars (29-08-2020),HC Knight & SN Luff (Western Storm)
1229329,2020,29-08-2020,2,Western Storm,South East Stars,KL George & HC Knight,36,38,KL George,19,HC Knight,17,vs South East Stars (29-08-2020),KL George & HC Knight (Western Storm)
1229329,2020,29-08-2020,2,Western Storm,South East Stars,NAJ Wraith & HC Knight,7,7,NAJ Wraith,6,HC Knight,1,vs South East Stars (29-08-2020),NAJ Wraith & HC Knight (Western Storm)
1229330,2020,31-08-2020,1,Southern Vipers,Western Storm,CE Dean & CE Rudd,17,21,CE Dean,12,CE Rudd,5,vs Western Storm (31-08-2020),CE Dean & CE Rudd (Southern Vipers)
1229330,2020,31-08-2020,1,Southern Vipers,Western Storm,E Windsor & CE Dean,25,26,E Windsor,14,CE Dean,11,vs Western Storm (31-08-2020),E Windsor & CE Dean (Southern Vipers)
1229330,2020,31-08-2020,1,Southern Vipers,Western Storm,EM McCaughan & CE Dean,12,12,EM McCaughan,5,CE Dean,7,vs Western Storm (31-08-2020),EM McCaughan & CE Dean (Southern Vipers)
