batting_team,partnership,batter1,batter2,batter1_runs,batter2_runs,from_node,to_node
Central Sparks,AE Jones & GM Davies,AE Jones,GM Davies,8,15,AE Jones,GM Davies
Central Sparks,AE Jones & M Home,AE Jones,M Home,59,19,M Home,AE Jones
Central Sparks,AE Jones & Marie Kelly,AE Jones,Marie Kelly,74,35,Marie Kelly,AE Jones
Central Sparks,AE Jones & S Glenn,AE Jones,S Glenn,39,13,S Glenn,AE Jones
Central Sparks,Anisha Patel & E Jones,Anisha Patel,E Jones,1,2,Anisha Patel,E Jones
Central Sparks,Anisha Patel & EA Russell,Anisha Patel,EA Russell,1,0,EA Russell,Anisha Patel
Central Sparks,CAE Hill & GK Davis,CAE Hill,GK Davis,8,4,GK Davis,CAE Hill
Central Sparks,CAE Hill & M Home,CAE Hill,M Home,1,0,M Home,CAE Hill
Central Sparks,CAE Hill & P Davies,CAE Hill,P Davies,23,11,P Davies,CAE Hill
Central Sparks,CAE Hill & TF Brookes,CAE Hill,TF Brookes,2,0,TF Brookes,CAE Hill
Central Sparks,CK Boycott & Anisha Patel,CK Boycott,Anisha Patel,6,2,Anisha Patel,CK Boycott
Central Sparks,CK Boycott & CAE Hill,CK Boycott,CAE Hill,17,26,CK Boycott,CAE Hill
Central Sparks,CK Boycott & E Jones,CK Boycott,E Jones,22,33,CK Boycott,E Jones
Central Sparks,CK Boycott & EA Russell,CK Boycott,EA Russell,3,1,EA Russell,CK Boycott
Central Sparks,CK Boycott & Marie Kelly,CK Boycott,Marie Kelly,5,5,CK Boycott,Marie Kelly
Central Sparks,D Perrin & E Jones,D Perrin,E Jones,22,10,E Jones,D Perrin
Central Sparks,E Jones & AE Jones,E Jones,AE Jones,21,23,E Jones,AE Jones
Central Sparks,E Jones & CAE Hill,E Jones,CAE Hill,7,5,CAE Hill,E Jones
Central Sparks,E Jones & EA Russell,E Jones,EA Russell,3,3,E Jones,EA Russell
Central Sparks,E Jones & GM Davies,E Jones,GM Davies,168,144,GM Davies,E Jones
Central Sparks,E Jones & HL Baker,E Jones,HL Baker,4,5,E Jones,HL Baker
Central Sparks,E Jones & M Home,E Jones,M Home,18,12,M Home,E Jones
Central Sparks,E Jones & RA Fackrell,E Jones,RA Fackrell,11,7,RA Fackrell,E Jones
Central Sparks,E Jones & S Butler,E Jones,S Butler,19,25,E Jones,S Butler
Central Sparks,EA Russell & IECM Wong,EA Russell,IECM Wong,8,7,IECM Wong,EA Russell
Central Sparks,EL Arlott & CAE Hill,EL Arlott,CAE Hill,2,3,EL Arlott,CAE Hill
Central Sparks,EL Arlott & CK Boycott,EL Arlott,CK Boycott,34,35,EL Arlott,CK Boycott
Central Sparks,EL Arlott & IECM Wong,EL Arlott,IECM Wong,10,2,IECM Wong,EL Arlott
Central Sparks,EL Arlott & RA Fackrell,EL Arlott,RA Fackrell,29,41,EL Arlott,RA Fackrell
Central Sparks,EL Arlott & S Glenn,EL Arlott,S Glenn,24,50,EL Arlott,S Glenn
Central Sparks,GK Davis & CK Boycott,GK Davis,CK Boycott,3,7,GK Davis,CK Boycott
Central Sparks,GK Davis & E Jones,GK Davis,E Jones,4,3,E Jones,GK Davis
Central Sparks,GK Davis & EL Arlott,GK Davis,EL Arlott,13,9,EL Arlott,GK Davis
Central Sparks,GM Davies & CAE Hill,GM Davies,CAE Hill,14,13,CAE Hill,GM Davies
Central Sparks,GM Davies & D Perrin,GM Davies,D Perrin,32,21,D Perrin,GM Davies
Central Sparks,GM Davies & IECM Wong,GM Davies,IECM Wong,1,0,IECM Wong,GM Davies
Central Sparks,GM Davies & Marie Kelly,GM Davies,Marie Kelly,38,47,GM Davies,Marie Kelly
Central Sparks,GM Davies & TF Brookes,GM Davies,TF Brookes,78,44,TF Brookes,GM Davies
Central Sparks,IECM Wong & AE Jones,IECM Wong,AE Jones,7,12,IECM Wong,AE Jones
Central Sparks,IECM Wong & CAE Hill,IECM Wong,CAE Hill,1,1,IECM Wong,CAE Hill
Central Sparks,IECM Wong & E Jones,IECM Wong,E Jones,20,37,IECM Wong,E Jones
Central Sparks,M Home & Marie Kelly,M Home,Marie Kelly,17,25,M Home,Marie Kelly
Central Sparks,M Home & P Davies,M Home,P Davies,2,1,P Davies,M Home
Central Sparks,Marie Kelly & D Perrin,Marie Kelly,D Perrin,25,25,Marie Kelly,D Perrin
Central Sparks,Marie Kelly & E Jones,Marie Kelly,E Jones,231,251,Marie Kelly,E Jones
Central Sparks,Marie Kelly & P Davies,Marie Kelly,P Davies,16,10,P Davies,Marie Kelly
Central Sparks,P Davies & E Jones,P Davies,E Jones,25,34,P Davies,E Jones
Central Sparks,RA Fackrell & AE Jones,RA Fackrell,AE Jones,11,50,RA Fackrell,AE Jones
Central Sparks,RA Fackrell & CAE Hill,RA Fackrell,CAE Hill,1,1,RA Fackrell,CAE Hill
Central Sparks,RA Fackrell & IECM Wong,RA Fackrell,IECM Wong,1,7,RA Fackrell,IECM Wong
Central Sparks,S Butler & AE Jones,S Butler,AE Jones,30,44,S Butler,AE Jones
Central Sparks,S Butler & GM Davies,S Butler,GM Davies,2,4,S Butler,GM Davies
Central Sparks,S Glenn & CK Boycott,S Glenn,CK Boycott,3,6,S Glenn,CK Boycott
Central Sparks,S Glenn & GM Davies,S Glenn,GM Davies,20,26,S Glenn,GM Davies
Central Sparks,S Glenn & IECM Wong,S Glenn,IECM Wong,6,2,IECM Wong,S Glenn
Central Sparks,S Glenn & Marie Kelly,S Glenn,Marie Kelly,0,1,S Glenn,Marie Kelly
Central Sparks,S Glenn & RA Fackrell,S Glenn,RA Fackrell,38,13,RA Fackrell,S Glenn
Central Sparks,S Glenn & TF Brookes,S Glenn,TF Brookes,11,4,TF Brookes,S Glenn
