batting_team,partnership,batter1,batter2,partner_labels,net_runs,batter1_runs,batter2_runs,matches
Central Sparks,AE Jones & GM Davies,AE Jones,GM Davies,AE Jones & GM Davies (Central Sparks),27,8,15,2
Central Sparks,AE Jones & M Home,AE Jones,M Home,AE Jones & M Home (Central Sparks),93,59,19,2
Central Sparks,AE Jones & Marie Kelly,AE Jones,Marie Kelly,AE Jones & Marie Kelly (Central Sparks),112,74,35,2
Central Sparks,AE Jones & S Glenn,AE Jones,S Glenn,AE Jones & S Glenn (Central Sparks),54,39,13,2
Central Sparks,Anisha Patel & E Jones,Anisha Patel,E Jones,Anisha Patel & E Jones (Central Sparks),3,1,2,1
Central Sparks,Anisha Patel & EA Russell,Anisha Patel,EA Russell,Anisha Patel & EA Russell (Central Sparks),2,1,0,1
Central Sparks,CAE Hill & GK Davis,CAE Hill,GK Davis,CAE Hill & GK Davis (Central Sparks),18,8,4,1
Central Sparks,CAE Hill & M Home,CAE Hill,M Home,CAE Hill & M Home (Central Sparks),5,1,0,1
Central Sparks,CAE Hill & P Davies,CAE Hill,P Davies,CAE Hill & P Davies (Central Sparks),46,23,11,1
Central Sparks,CAE Hill & TF Brookes,CAE Hill,TF Brookes,CAE Hill & TF Brookes (Central Sparks),2,2,0,1
Central Sparks,CK Boycott & Anisha Patel,CK Boycott,Anisha Patel,CK Boycott & Anisha Patel (Central Sparks),9,6,2,1
Central Sparks,CK Boycott & CAE Hill,CK Boycott,CAE Hill,CK Boycott & CAE Hill (Central Sparks),48,17,26,2
Central Sparks,CK Boycott & E Jones,CK Boycott,E Jones,CK Boycott & E Jones (Central Sparks),56,22,33,2
Central Sparks,CK Boycott & EA Russell,CK Boycott,EA Russell,CK Boycott & EA Russell (Central Sparks),4,3,1,2
Central Sparks,CK Boycott & Marie Kelly,CK Boycott,Marie Kelly,CK Boycott & Marie Kelly (Central Sparks),10,5,5,1
Central Sparks,D Perrin & E Jones,D Perrin,E Jones,D Perrin & E Jones (Central Sparks),33,22,10,2
Central Sparks,E Jones & AE Jones,E Jones,AE Jones,E Jones & AE Jones (Central Sparks),58,21,23,3
Central Sparks,E Jones & CAE Hill,E Jones,CAE Hill,E Jones & CAE Hill (Central Sparks),15,7,5,1
Central Sparks,E Jones & EA Russell,E Jones,EA Russell,E Jones & EA Russell (Central Sparks),7,3,3,2
Central Sparks,E Jones & GM Davies,E Jones,GM Davies,E Jones & GM Davies (Central Sparks),388,168,144,9
Central Sparks,E Jones & HL Baker,E Jones,HL Baker,E Jones & HL Baker (Central Sparks),10,4,5,1
Central Sparks,E Jones & M Home,E Jones,M Home,E Jones & M Home (Central Sparks),45,18,12,2
Central Sparks,E Jones & RA Fackrell,E Jones,RA Fackrell,E Jones & RA Fackrell (Central Sparks),21,11,7,1
Central Sparks,E Jones & S Butler,E Jones,S Butler,E Jones & S Butler (Central Sparks),62,19,25,1
Central Sparks,EA Russell & IECM Wong,EA Russell,IECM Wong,EA Russell & IECM Wong (Central Sparks),15,8,7,1
Central Sparks,EL Arlott & CAE Hill,EL Arlott,CAE Hill,EL Arlott & CAE Hill (Central Sparks),5,2,3,1
Central Sparks,EL Arlott & CK Boycott,EL Arlott,CK Boycott,EL Arlott & CK Boycott (Central Sparks),73,34,35,3
Central Sparks,EL Arlott & E Jones,EL Arlott,E Jones,EL Arlott & E Jones (Central Sparks),0,0,0,1
Central Sparks,EL Arlott & IECM Wong,EL Arlott,IECM Wong,EL Arlott & IECM Wong (Central Sparks),12,10,2,2
Central Sparks,EL Arlott & RA Fackrell,EL Arlott,RA Fackrell,EL Arlott & RA Fackrell (Central Sparks),74,29,41,1
Central Sparks,EL Arlott & S Glenn,EL Arlott,S Glenn,EL Arlott & S Glenn (Central Sparks),87,24,50,1
Central Sparks,GK Davis & CK Boycott,GK Davis,CK Boycott,GK Davis & CK Boycott (Central Sparks),11,3,7,1
Central Sparks,GK Davis & E Jones,GK Davis,E Jones,GK Davis & E Jones (Central Sparks),7,4,3,1
Central Sparks,GK Davis & EL Arlott,GK Davis,EL Arlott,GK Davis & EL Arlott (Central Sparks),23,13,9,1
Central Sparks,GM Davies & CAE Hill,GM Davies,CAE Hill,GM Davies & CAE Hill (Central Sparks),30,14,13,1
Central Sparks,GM Davies & D Perrin,GM Davies,D Perrin,GM Davies & D Perrin (Central Sparks),55,32,21,3
Central Sparks,GM Davies & IECM Wong,GM Davies,IECM Wong,GM Davies & IECM Wong (Central Sparks),1,1,0,1
Central Sparks,GM Davies & Marie Kelly,GM Davies,Marie Kelly,GM Davies & Marie Kelly (Central Sparks),102,38,47,3
Central Sparks,GM Davies & TF Brookes,GM Davies,TF Brookes,GM Davies & TF Brookes (Central Sparks),133,78,44,3
Central Sparks,IECM Wong & AE Jones,IECM Wong,AE Jones,IECM Wong & AE Jones (Central Sparks),20,7,12,1
Central Sparks,IECM Wong & CAE Hill,IECM Wong,CAE Hill,IECM Wong & CAE Hill (Central Sparks),2,1,1,1
Central Sparks,IECM Wong & E Jones,IECM Wong,E Jones,IECM Wong & E Jones (Central Sparks),59,20,37,2
Central Sparks,M Home & Marie Kelly,M Home,Marie Kelly,M Home & Marie Kelly (Central Sparks),45,17,25,1
Central Sparks,M Home & P Davies,M Home,P Davies,M Home & P Davies (Central Sparks),3,2,1,2
Central Sparks,Marie Kelly & D Perrin,Marie Kelly,D Perrin,Marie Kelly & D Perrin (Central Sparks),56,25,25,2
