season,batting_team,partnership,batter1,batter2,net_runs,batter1_runs,batter2_runs
2020,Southern Vipers,GL Adams & EM McCaughan,GL Adams,EM McCaughan,401,202,154
2021,Central Sparks,Marie Kelly & E Jones,Marie Kelly,E Jones,281,119,125
2021,Lightning,KE Bryce & SJ Bryce,KE Bryce,SJ Bryce,280,120,127
2020,Southern Vipers,ME Bouchier & GL Adams,ME Bouchier,GL Adams,277,122,142
2020,Lightning,SJ Bryce & B Ellis,SJ Bryce,B Ellis,268,130,112
2020,Central Sparks,Marie Kelly & E Jones,Marie Kelly,E Jones,266,112,126
2020,Central Sparks,E Jones & GM Davies,E Jones,GM Davies,261,120,104
2021,Western Storm,SN Luff & A Griffiths,SN Luff,A Griffiths,254,114,121
2021,Sunrisers,AJ Macleod & CL Griffith,AJ Macleod,CL Griffith,250,96,139
2021,Sunrisers,CL Griffith & G Scrivens,CL Griffith,G Scrivens,232,110,87
2021,South East Stars,BF Smith & AN Davidson-Richards,BF Smith,AN Davidson-Richards,223,137,68
2020,Southern Vipers,GL Adams & DN Wyatt,GL Adams,DN Wyatt,216,73,107
2021,Southern Vipers,ME Bouchier & GL Adams,ME Bouchier,GL Adams,209,108,87
2021,Thunder,P Cleary & EL Lamb,P Cleary,EL Lamb,189,81,92
2021,Southern Vipers,GL Adams & GA Elwiss,GL Adams,GA Elwiss,189,74,99
2021,Thunder,EL Lamb & GEB Boyce,EL Lamb,GEB Boyce,189,89,69
2021,South East Stars,AN Davidson-Richards & SIR Dunkley,AN Davidson-Richards,SIR Dunkley,184,97,70
2020,Northern Diamonds,L Winfield & HJ Armitage,L Winfield,HJ Armitage,179,93,60
2020,Western Storm,GM Hennessy & SN Luff,GM Hennessy,SN Luff,179,94,82
2021,Sunrisers,FC Wilson & AJ Macleod,FC Wilson,AJ Macleod,175,88,70
2020,Western Storm,SN Luff & NAJ Wraith,SN Luff,NAJ Wraith,173,79,86
2021,Northern Diamonds,A Campbell & SL Kalis,A Campbell,SL Kalis,169,103,56
2020,Western Storm,HC Knight & SN Luff,HC Knight,SN Luff,156,73,68
2020,Western Storm,A Griffiths & GM Hennessy,A Griffiths,GM Hennessy,155,80,66
2020,South East Stars,A Capsey & A Cranstone,A Capsey,A Cranstone,155,84,48
2020,Lightning,KE Bryce & SJ Bryce,KE Bryce,SJ Bryce,153,69,72
2021,Southern Vipers,GL Adams & DN Wyatt,GL Adams,DN Wyatt,150,62,74
2021,Western Storm,HC Knight & SN Luff,HC Knight,SN Luff,150,69,67
2020,Sunrisers,G Scrivens & J Gardner,G Scrivens,J Gardner,148,73,57
2021,Western Storm,SN Luff & DR Gibson,SN Luff,DR Gibson,141,77,52
2020,Lightning,TT Beaumont & SJ Bryce,TT Beaumont,SJ Bryce,137,53,70
2020,Southern Vipers,PJ Scholfield & CE Dean,PJ Scholfield,CE Dean,136,75,46
2020,Lightning,AJ Freeborn & SJ Bryce,AJ Freeborn,SJ Bryce,136,72,56
2021,Central Sparks,GM Davies & TF Brookes,GM Davies,TF Brookes,133,78,44
2021,Lightning,KE Bryce & TT Beaumont,KE Bryce,TT Beaumont,130,61,50
2021,Central Sparks,E Jones & GM Davies,E Jones,GM Davies,127,48,40
2020,Lightning,T Graves & SJ Bryce,T Graves,SJ Bryce,127,65,52
2020,Sunrisers,KS Castle & J Gardner,KS Castle,J Gardner,123,45,68
2020,South East Stars,AN Davidson-Richards & SIR Dunkley,AN Davidson-Richards,SIR Dunkley,123,61,55
2021,Western Storm,LA Parfitt & HC Knight,LA Parfitt,HC Knight,119,46,65
2020,Western Storm,FMK Morris & LA Parfitt,FMK Morris,LA Parfitt,117,66,38
2020,Thunder,N Brown & E Threlkeld,N Brown,E Threlkeld,117,51,53
2021,South East Stars,BF Smith & A Capsey,BF Smith,A Capsey,115,68,43
2021,Northern Diamonds,SL Kalis & L Winfield,SL Kalis,L Winfield,112,36,61
2021,Western Storm,SN Luff & LA Parfitt,SN Luff,LA Parfitt,106,36,64
2021,Southern Vipers,GH Lewis & GA Elwiss,GH Lewis,GA Elwiss,106,57,43
2020,Northern Diamonds,JL Gunn & SL Kalis,JL Gunn,SL Kalis,106,50,46
2021,Northern Diamonds,LCN Smith & BAM Heath,LCN Smith,BAM Heath,105,37,66
2021,Central Sparks,AE Jones & Marie Kelly,AE Jones,Marie Kelly,103,71,31
2021,Western Storm,GM Hennessy & SN Luff,GM Hennessy,SN Luff,102,39,53
2021,Northern Diamonds,SL Kalis & HJ Armitage,SL Kalis,HJ Armitage,100,49,40
2020,Western Storm,SN Luff & A Griffiths,SN Luff,A Griffiths,100,25,58
2021,Lightning,AJ Freeborn & KE Bryce,AJ Freeborn,KE Bryce,98,27,60
2021,Lightning,LF Higham & T Graves,LF Higham,T Graves,97,37,52
2020,Western Storm,HC Knight & FMK Morris,HC Knight,FMK Morris,97,50,31
2021,Southern Vipers,PJ Scholfield & GA Elwiss,PJ Scholfield,GA Elwiss,96,44,42
