match_id,season,start_date,innings,batting_team,bowling_team,striker,runs_off_bat,balls_faced,strike_rate,50s,100s,wicket_status,batter_labels,message,runs_range
1229326,2020,29-08-2020,1,Sunrisers,Southern Vipers,AD Carr,4,15,26.67,0,0,out,AD Carr (Sunrisers),vs Southern Vipers (29/08/2020),<20
1229326,2020,29-08-2020,1,Sunrisers,Southern Vipers,AJ Macleod,2,4,50,0,0,out,AJ Macleod (Sunrisers),vs Southern Vipers (29/08/2020),<20
1229326,2020,29-08-2020,1,Sunrisers,Southern Vipers,FC Wilson,11,15,73.33,0,0,out,FC Wilson (Sunrisers),vs Southern Vipers (29/08/2020),<20
1229326,2020,29-08-2020,1,Sunrisers,Southern Vipers,G Scrivens,8,21,38.1,0,0,out,G Scrivens (Sunrisers),vs Southern Vipers (29/08/2020),<20
1229326,2020,29-08-2020,1,Sunrisers,Southern Vipers,J Gardner,13,15,86.67,0,0,out,J Gardner (Sunrisers),vs Southern Vipers (29/08/2020),<20
1229326,2020,29-08-2020,1,Sunrisers,Southern Vipers,KJ Wolfe,2,6,33.33,0,0,out,KJ Wolfe (Sunrisers),vs Southern Vipers (29/08/2020),<20
1229326,2020,29-08-2020,1,Sunrisers,Southern Vipers,KL Midwood,6,24,25,0,0,out,KL Midwood (Sunrisers),vs Southern Vipers (29/08/2020),<20
1229326,2020,29-08-2020,1,Sunrisers,Southern Vipers,KS Castle,8,13,61.54,0,0,not out,KS Castle (Sunrisers),vs Southern Vipers (29/08/2020),<20
1229326,2020,29-08-2020,1,Sunrisers,Southern Vipers,MK Villiers,64,87,73.56,1,0,out,MK Villiers (Sunrisers),vs Southern Vipers (29/08/2020),50-99
1229326,2020,29-08-2020,1,Sunrisers,Southern Vipers,ND Dattani,42,82,51.22,0,0,out,ND Dattani (Sunrisers),vs Southern Vipers (29/08/2020),20-49
1229326,2020,29-08-2020,1,Sunrisers,Southern Vipers,Sonali Patel,4,18,22.22,0,0,out,Sonali Patel (Sunrisers),vs Southern Vipers (29/08/2020),<20
1229326,2020,29-08-2020,2,Southern Vipers,Sunrisers,CE Dean,27,40,67.5,0,0,not out,CE Dean (Southern Vipers),vs Sunrisers (29/08/2020),20-49
1229326,2020,29-08-2020,2,Southern Vipers,Sunrisers,DN Wyatt,66,79,83.54,1,0,out,DN Wyatt (Southern Vipers),vs Sunrisers (29/08/2020),50-99
1229326,2020,29-08-2020,2,Southern Vipers,Sunrisers,GL Adams,37,50,74,0,0,out,GL Adams (Southern Vipers),vs Sunrisers (29/08/2020),20-49
1229326,2020,29-08-2020,2,Southern Vipers,Sunrisers,ME Bouchier,33,40,82.5,0,0,out,ME Bouchier (Southern Vipers),vs Sunrisers (29/08/2020),20-49
1229326,2020,29-08-2020,2,Southern Vipers,Sunrisers,PJ Scholfield,23,24,95.83,0,0,not out,PJ Scholfield (Southern Vipers),vs Sunrisers (29/08/2020),20-49
1229327,2020,29-08-2020,1,Central Sparks,Northern Diamonds,E Jones,15,30,50,0,0,out,E Jones (Central Sparks),vs Northern Diamonds (29/08/2020),<20
1229327,2020,29-08-2020,1,Central Sparks,Northern Diamonds,AE Jones,26,38,68.42,0,0,out,AE Jones (Central Sparks),vs Northern Diamonds (29/08/2020),20-49
1229327,2020,29-08-2020,1,Central Sparks,Northern Diamonds,Marie Kelly,4,6,66.66,0,0,out,Marie Kelly (Central Sparks),vs Northern Diamonds (29/08/2020),<20
1229327,2020,29-08-2020,1,Central Sparks,Northern Diamonds,GM Davies,33,44,75,0,0,out,GM Davies (Central Sparks),vs Northern Diamonds (29/08/2020),20-49
1229327,2020,29-08-2020,1,Central Sparks,Northern Diamonds,S Glenn,23,43,53.48,0,0,out,S Glenn (Central Sparks),vs Northern Diamonds (29/08/2020),20-49
1229327,2020,29-08-2020,1,Central Sparks,Northern Diamonds,TF Brookes,4,13,30.76,0,0,out,TF Brookes (Central Sparks),vs Northern Diamonds (29/08/2020),<20
1229327,2020,29-08-2020,1,Central Sparks,Northern Diamonds,CK Boycott,10,37,27.02,0,0,out,CK Boycott (Central Sparks),vs Northern Diamonds (29/08/2020),<20
1229327,2020,29-08-2020,1,Central Sparks,Northern Diamonds,EL Arlott,5,12,41.66,0,0,out,EL Arlott (Central Sparks),vs Northern Diamonds (29/08/2020),<20
1229327,2020,29-08-2020,1,Central Sparks,Northern Diamonds,IECM Wong,0,3,0,0,0,out,IECM Wong (Central Sparks),vs Northern Diamonds (29/08/2020),<20
1229327,2020,29-08-2020,1,Central Sparks,Northern Diamonds,EA Russell,0,0,0,0,0,not out,EA Russell (Central Sparks),vs Northern Diamonds (29/08/2020),<20
1229327,2020,29-08-2020,1,Central Sparks,Northern Diamonds,Anisha Patel,1,5,20,0,0,out,Anisha Patel (Central Sparks),vs Northern Diamonds (29/08/2020),<20
1229327,2020,29-08-2020,2,Northern Diamonds,Central Sparks,L Winfield,72,71,101.4,1,0,out,L Winfield (Northern Diamonds),vs Central Sparks (29/08/2020),50-99
1229327,2020,29-08-2020,2,Northern Diamonds,Central Sparks,HJ Armitage,54,73,73.97,1,0,not out,HJ Armitage (Northern Diamonds),vs Central Sparks (29/08/2020),50-99
1229327,2020,29-08-2020,2,Northern Diamonds,Central Sparks,NR Sciver,4,1,400,0,0,not out,NR Sciver (Northern Diamonds),vs Central Sparks (29/08/2020),<20
1229328,2020,29-08-2020,1,Thunder,Lightning,L Marshall,5,5,100,0,0,out,L Marshall (Thunder),vs Lightning (29/08/2020),<20
1229328,2020,29-08-2020,1,Thunder,Lightning,GEB Boyce,18,30,60,0,0,out,GEB Boyce (Thunder),vs Lightning (29/08/2020),<20
1229328,2020,29-08-2020,1,Thunder,Lightning,EL Lamb,3,15,20,0,0,out,EL Lamb (Thunder),vs Lightning (29/08/2020),<20
1229328,2020,29-08-2020,1,Thunder,Lightning,E Threlkeld,52,82,63.41,1,0,out,E Threlkeld (Thunder),vs Lightning (29/08/2020),50-99
1229328,2020,29-08-2020,1,Thunder,Lightning,N Brown,38,55,69.09,0,0,out,N Brown (Thunder),vs Lightning (29/08/2020),20-49
1229328,2020,29-08-2020,1,Thunder,Lightning,S Ecclestone,60,61,98.36,1,0,not out,S Ecclestone (Thunder),vs Lightning (29/08/2020),50-99
1229328,2020,29-08-2020,1,Thunder,Lightning,KL Cross,8,25,32,0,0,out,KL Cross (Thunder),vs Lightning (29/08/2020),<20
1229328,2020,29-08-2020,1,Thunder,Lightning,S Turner,2,10,20,0,0,out,S Turner (Thunder),vs Lightning (29/08/2020),<20
1229328,2020,29-08-2020,1,Thunder,Lightning,Olivia Thomas,1,11,9.09,0,0,out,Olivia Thomas (Thunder),vs Lightning (29/08/2020),<20
1229328,2020,29-08-2020,1,Thunder,Lightning,HE Jones,0,7,0,0,0,out,HE Jones (Thunder),vs Lightning (29/08/2020),<20
1229328,2020,29-08-2020,1,Thunder,Lightning,A Hartley,0,0,0,0,0,not out,A Hartley (Thunder),vs Lightning (29/08/2020),<20
1229328,2020,29-08-2020,2,Lightning,Thunder,TT Beaumont,2,14,14.28,0,0,out,TT Beaumont (Lightning),vs Thunder (29/08/2020),<20
1229328,2020,29-08-2020,2,Lightning,Thunder,SJ Bryce,52,69,75.36,1,0,out,SJ Bryce (Lightning),vs Thunder (29/08/2020),50-99
1229328,2020,29-08-2020,2,Lightning,Thunder,KE Bryce,17,42,40.47,0,0,out,KE Bryce (Lightning),vs Thunder (29/08/2020),<20
1229328,2020,29-08-2020,2,Lightning,Thunder,AJ Freeborn,29,44,65.9,0,0,out,AJ Freeborn (Lightning),vs Thunder (29/08/2020),20-49
1229328,2020,29-08-2020,2,Lightning,Thunder,B Ellis,1,6,16.66,0,0,out,B Ellis (Lightning),vs Thunder (29/08/2020),<20
1229328,2020,29-08-2020,2,Lightning,Thunder,LF Higham,19,29,65.51,0,0,out,LF Higham (Lightning),vs Thunder (29/08/2020),<20
1229328,2020,29-08-2020,2,Lightning,Thunder,T Graves,1,1,100,0,0,out,T Graves (Lightning),vs Thunder (29/08/2020),<20
1229328,2020,29-08-2020,2,Lightning,Thunder,N Harman,11,6,183.33,0,0,out,N Harman (Lightning),vs Thunder (29/08/2020),<20
1229328,2020,29-08-2020,2,Lightning,Thunder,KL Gordon,0,3,0,0,0,out,KL Gordon (Lightning),vs Thunder (29/08/2020),<20
1229328,2020,29-08-2020,2,Lightning,Thunder,S Munro,2,2,100,0,0,out,S Munro (Lightning),vs Thunder (29/08/2020),<20
1229328,2020,29-08-2020,2,Lightning,Thunder,G Ballinger,0,0,0,0,0,not out,G Ballinger (Lightning),vs Thunder (29/08/2020),<20
1229329,2020,29-08-2020,1,South East Stars,Western Storm,A Capsey,13,30,43.33,0,0,out,A Capsey (South East Stars),vs Western Storm (29/08/2020),<20
1229329,2020,29-08-2020,1,South East Stars,Western Storm,A Cranstone,14,33,42.42,0,0,out,A Cranstone (South East Stars),vs Western Storm (29/08/2020),<20
1229329,2020,29-08-2020,1,South East Stars,Western Storm,AN Davidson-Richards,6,19,31.58,0,0,out,AN Davidson-Richards (South East Stars),vs Western Storm (29/08/2020),<20
1229329,2020,29-08-2020,1,South East Stars,Western Storm,BF Smith,5,14,35.71,0,0,out,BF Smith (South East Stars),vs Western Storm (29/08/2020),<20
1229329,2020,29-08-2020,1,South East Stars,Western Storm,FR Davies,12,53,22.64,0,0,out,FR Davies (South East Stars),vs Western Storm (29/08/2020),<20
1229329,2020,29-08-2020,1,South East Stars,Western Storm,GJ Gibbs,1,5,20,0,0,not out,GJ Gibbs (South East Stars),vs Western Storm (29/08/2020),<20
1229329,2020,29-08-2020,1,South East Stars,Western Storm,HV Jones,16,28,57.14,0,0,out,HV Jones (South East Stars),vs Western Storm (29/08/2020),<20
1229329,2020,29-08-2020,1,South East Stars,Western Storm,NE Farrant,37,61,60.66,0,0,out,NE Farrant (South East Stars),vs Western Storm (29/08/2020),20-49
1229329,2020,29-08-2020,1,South East Stars,Western Storm,R Southby,2,5,40,0,0,out,R Southby (South East Stars),vs Western Storm (29/08/2020),<20
1229329,2020,29-08-2020,1,South East Stars,Western Storm,SE Rowe,38,47,80.85,0,0,out,SE Rowe (South East Stars),vs Western Storm (29/08/2020),20-49
1229329,2020,29-08-2020,1,South East Stars,Western Storm,SIR Dunkley,5,7,71.43,0,0,out,SIR Dunkley (South East Stars),vs Western Storm (29/08/2020),<20
1229329,2020,29-08-2020,2,Western Storm,South East Stars,FMK Morris,27,66,40.91,0,0,out,FMK Morris (Western Storm),vs South East Stars (29/08/2020),20-49
1229329,2020,29-08-2020,2,Western Storm,South East Stars,GM Hennessy,6,23,26.09,0,0,out,GM Hennessy (Western Storm),vs South East Stars (29/08/2020),<20
1229329,2020,29-08-2020,2,Western Storm,South East Stars,HC Knight,91,99,91.92,1,0,not out,HC Knight (Western Storm),vs South East Stars (29/08/2020),50-99
1229329,2020,29-08-2020,2,Western Storm,South East Stars,KL George,19,23,82.61,0,0,not out,KL George (Western Storm),vs South East Stars (29/08/2020),<20
1229329,2020,29-08-2020,2,Western Storm,South East Stars,NAJ Wraith,6,17,35.29,0,0,out,NAJ Wraith (Western Storm),vs South East Stars (29/08/2020),<20
1229329,2020,29-08-2020,2,Western Storm,South East Stars,SN Luff,8,20,40,0,0,out,SN Luff (Western Storm),vs South East Stars (29/08/2020),<20
1229330,2020,31-08-2020,1,Southern Vipers,Western Storm,CE Dean,60,74,81.08,1,0,not out,CE Dean (Southern Vipers),vs Western Storm (31/08/2020),50-99
1229330,2020,31-08-2020,1,Southern Vipers,Western Storm,CE Rudd,5,8,62.5,0,0,out,CE Rudd (Southern Vipers),vs Western Storm (31/08/2020),<20
1229330,2020,31-08-2020,1,Southern Vipers,Western Storm,DN Wyatt,53,64,82.81,1,0,out,DN Wyatt (Southern Vipers),vs Western Storm (31/08/2020),50-99
1229330,2020,31-08-2020,1,Southern Vipers,Western Storm,E Windsor,14,20,70,0,0,out,E Windsor (Southern Vipers),vs Western Storm (31/08/2020),<20
1229330,2020,31-08-2020,1,Southern Vipers,Western Storm,EM McCaughan,5,14,35.71,0,0,out,EM McCaughan (Southern Vipers),vs Western Storm (31/08/2020),<20
1229330,2020,31-08-2020,1,Southern Vipers,Western Storm,GL Adams,55,80,68.75,1,0,out,GL Adams (Southern Vipers),vs Western Storm (31/08/2020),50-99
1229330,2020,31-08-2020,1,Southern Vipers,Western Storm,ME Bouchier,16,29,55.17,0,0,out,ME Bouchier (Southern Vipers),vs Western Storm (31/08/2020),<20
1229330,2020,31-08-2020,1,Southern Vipers,Western Storm,PJ Scholfield,9,19,47.37,0,0,out,PJ Scholfield (Southern Vipers),vs Western Storm (31/08/2020),<20
1229330,2020,31-08-2020,1,Southern Vipers,Western Storm,TG Norris,10,12,83.33,0,0,not out,TG Norris (Southern Vipers),vs Western Storm (31/08/2020),<20
1229330,2020,31-08-2020,2,Western Storm,Southern Vipers,A Griffiths,3,6,50,0,0,out,A Griffiths (Western Storm),vs Southern Vipers (31/08/2020),<20
1229330,2020,31-08-2020,2,Western Storm,Southern Vipers,C Nicholas,22,37,59.46,0,0,out,C Nicholas (Western Storm),vs Southern Vipers (31/08/2020),20-49
1229330,2020,31-08-2020,2,Western Storm,Southern Vipers,E Corney,3,6,50,0,0,out,E Corney (Western Storm),vs Southern Vipers (31/08/2020),<20
1229330,2020,31-08-2020,2,Western Storm,Southern Vipers,FMK Morris,4,9,44.44,0,0,out,FMK Morris (Western Storm),vs Southern Vipers (31/08/2020),<20
1229330,2020,31-08-2020,2,Western Storm,Southern Vipers,GM Hennessy,4,6,66.67,0,0,out,GM Hennessy (Western Storm),vs Southern Vipers (31/08/2020),<20
1229330,2020,31-08-2020,2,Western Storm,Southern Vipers,HC Knight,67,86,77.91,1,0,out,HC Knight (Western Storm),vs Southern Vipers (31/08/2020),50-99
1229330,2020,31-08-2020,2,Western Storm,Southern Vipers,KL George,0,5,0,0,0,out,KL George (Western Storm),vs Southern Vipers (31/08/2020),<20
1229330,2020,31-08-2020,2,Western Storm,Southern Vipers,LA Parfitt,33,37,89.19,0,0,not out,LA Parfitt (Western Storm),vs Southern Vipers (31/08/2020),20-49
