match_id,bowler,bowler_labels,overcounts,runs_conceded,econ_rate,message,wicketcounts,bowling_average,bowler_strikerate
1229326,AJ Macleod,AJ Macleod (Sunrisers),3,14,4.67,vs Southern Vipers (29/08/2020),1,14.0,18.0
1229326,J Gardner,J Gardner (Sunrisers),4,38,9.5,vs Southern Vipers (29/08/2020),,,
1229326,KJ Wolfe,KJ Wolfe (Sunrisers),6,31,5.17,vs Southern Vipers (29/08/2020),,,
1229326,KL Midwood,KL Midwood (Sunrisers),7,37,5.29,vs Southern Vipers (29/08/2020),,,
1229326,KS Castle,KS Castle (Sunrisers),3,15,5.0,vs Southern Vipers (29/08/2020),1,15.0,18.0
1229326,MK Villiers,MK Villiers (Sunrisers),10,49,4.9,vs Southern Vipers (29/08/2020),1,49.0,60.0
1229326,Sonali Patel,Sonali Patel (Sunrisers),4,23,5.75,vs Southern Vipers (29/08/2020),,,
1229326,CE Dean,CE Dean (Southern Vipers),10,47,4.7,vs Sunrisers (29/08/2020),2,23.5,30.0
1229326,DN Wyatt,DN Wyatt (Southern Vipers),4,16,4.0,vs Sunrisers (29/08/2020),1,16.0,24.0
1229326,GL Adams,GL Adams (Southern Vipers),2,14,7.0,vs Sunrisers (29/08/2020),,,
1229326,LK Bell,LK Bell (Southern Vipers),8,31,3.88,vs Sunrisers (29/08/2020),1,31.0,48.0
1229326,ME Bouchier,ME Bouchier (Southern Vipers),7,26,3.71,vs Sunrisers (29/08/2020),,,
1229326,PJ Scholfield,PJ Scholfield (Southern Vipers),10,33,3.3,vs Sunrisers (29/08/2020),3,11.0,20.0
1229326,TG Norris,TG Norris (Southern Vipers),6,22,3.67,vs Sunrisers (29/08/2020),1,22.0,36.0
1229329,A Griffiths,A Griffiths (Western Storm),3,16,5.33,vs South East Stars (29/08/2020),,,
1229329,A Shrubsole,A Shrubsole (Western Storm),9,31,3.44,vs South East Stars (29/08/2020),,,
1229329,C Nicholas,C Nicholas (Western Storm),10,34,3.4,vs South East Stars (29/08/2020),1,34.0,60.0
1229329,FMK Morris,FMK Morris (Western Storm),10,36,3.6,vs South East Stars (29/08/2020),3,12.0,20.0
1229329,GM Hennessy,GM Hennessy (Western Storm),9,31,3.44,vs South East Stars (29/08/2020),4,7.75,13.5
1229329,KL George,KL George (Western Storm),8,15,1.88,vs South East Stars (29/08/2020),1,15.0,48.0
1229329,AN Davidson-Richards,AN Davidson-Richards (South East Stars),4,19,4.75,vs Western Storm (29/08/2020),,,
1229329,BF Smith,BF Smith (South East Stars),4,11,2.75,vs Western Storm (29/08/2020),1,11.0,24.0
1229329,FR Davies,FR Davies (South East Stars),8,33,4.12,vs Western Storm (29/08/2020),,,
1229329,GJ Gibbs,GJ Gibbs (South East Stars),4,19,4.75,vs Western Storm (29/08/2020),,,
1229329,HV Jones,HV Jones (South East Stars),4,28,7.0,vs Western Storm (29/08/2020),,,
1229329,NE Farrant,NE Farrant (South East Stars),9,29,3.22,vs Western Storm (29/08/2020),1,29.0,54.0
1229329,SIR Dunkley,SIR Dunkley (South East Stars),7,27,3.86,vs Western Storm (29/08/2020),1,27.0,42.0
1229330,A Griffiths,A Griffiths (Western Storm),6,32,5.33,vs Southern Vipers (31/08/2020),,,
1229330,C Nicholas,C Nicholas (Western Storm),7,31,4.43,vs Southern Vipers (31/08/2020),1,31.0,42.0
1229330,FMK Morris,FMK Morris (Western Storm),9,40,4.44,vs Southern Vipers (31/08/2020),1,40.0,54.0
1229330,GM Hennessy,GM Hennessy (Western Storm),9,57,6.33,vs Southern Vipers (31/08/2020),1,57.0,54.0
1229330,HC Knight,HC Knight (Western Storm),10,36,3.6,vs Southern Vipers (31/08/2020),2,18.0,30.0
1229330,KL George,KL George (Western Storm),8,43,5.38,vs Southern Vipers (31/08/2020),1,43.0,48.0
1229330,N Holland,N Holland (Western Storm),2,14,7.0,vs Southern Vipers (31/08/2020),,,
1229330,CE Dean,CE Dean (Southern Vipers),7,44,6.29,vs Western Storm (31/08/2020),,,
1229330,DN Wyatt,DN Wyatt (Southern Vipers),3,11,3.67,vs Western Storm (31/08/2020),,,
1229330,GL Adams,GL Adams (Southern Vipers),7,23,3.29,vs Western Storm (31/08/2020),3,7.67,14.0
1229330,LK Bell,LK Bell (Southern Vipers),9,41,4.56,vs Western Storm (31/08/2020),2,20.5,27.0
1229330,ME Bouchier,ME Bouchier (Southern Vipers),7,41,5.86,vs Western Storm (31/08/2020),,,
1229330,PJ Scholfield,PJ Scholfield (Southern Vipers),7,25,3.57,vs Western Storm (31/08/2020),1,25.0,42.0
1229330,TG Norris,TG Norris (Southern Vipers),8,45,5.62,vs Western Storm (31/08/2020),4,11.25,12.0
1229331,AJ Macleod,AJ Macleod (Sunrisers),4,23,5.75,vs South East Stars (31/08/2020),,,
1229331,J Gardner,J Gardner (Sunrisers),7,36,5.14,vs South East Stars (31/08/2020),2,18.0,21.0
1229331,KJ Wolfe,KJ Wolfe (Sunrisers),9,60,6.67,vs South East Stars (31/08/2020),2,30.0,27.0
1229331,KL Midwood,KL Midwood (Sunrisers),8,45,5.62,vs South East Stars (31/08/2020),,,
1229331,MK Villiers,MK Villiers (Sunrisers),10,48,4.8,vs South East Stars (31/08/2020),,,
1229331,ND Dattani,ND Dattani (Sunrisers),2,17,8.5,vs South East Stars (31/08/2020),,,
1229331,Sonali Patel,Sonali Patel (Sunrisers),10,52,5.2,vs South East Stars (31/08/2020),4,13.0,15.0
1229331,A Capsey,A Capsey (South East Stars),4,14,3.5,vs Sunrisers (31/08/2020),1,14.0,24.0
1229331,AN Davidson-Richards,AN Davidson-Richards (South East Stars),3,18,6.0,vs Sunrisers (31/08/2020),1,18.0,18.0
1229331,BF Smith,BF Smith (South East Stars),6,25,4.17,vs Sunrisers (31/08/2020),3,8.33,12.0
1229331,FR Davies,FR Davies (South East Stars),7,30,4.29,vs Sunrisers (31/08/2020),,,
1229331,GJ Gibbs,GJ Gibbs (South East Stars),1,15,15.0,vs Sunrisers (31/08/2020),,,
1229331,HV Jones,HV Jones (South East Stars),10,34,3.4,vs Sunrisers (31/08/2020),2,17.0,30.0
1229331,NE Farrant,NE Farrant (South East Stars),7,35,5.0,vs Sunrisers (31/08/2020),1,35.0,42.0
1229331,SIR Dunkley,SIR Dunkley (South East Stars),8,34,4.25,vs Sunrisers (31/08/2020),2,17.0,24.0
1229332,A Hartley,A Hartley (Thunder),10,19,1.9,vs Central Sparks (31/08/2020),2,9.5,30.0
1229332,EL Lamb,EL Lamb (Thunder),4,18,4.5,vs Central Sparks (31/08/2020),,,
1229332,HE Jones,HE Jones (Thunder),5,15,3.0,vs Central Sparks (31/08/2020),,,
1229332,KL Cross,KL Cross (Thunder),10,50,5.0,vs Central Sparks (31/08/2020),1,50.0,60.0
1229332,N Brown,N Brown (Thunder),5,18,3.6,vs Central Sparks (31/08/2020),1,18.0,30.0
1229332,S Ecclestone,S Ecclestone (Thunder),10,13,1.3,vs Central Sparks (31/08/2020),2,6.5,30.0
1229332,CK Boycott,CK Boycott (Central Sparks),10,32,3.2,vs Thunder (31/08/2020),2,16.0,30.0
1229332,EL Arlott,EL Arlott (Central Sparks),8,29,3.62,vs Thunder (31/08/2020),1,29.0,48.0
1229332,GK Davis,GK Davis (Central Sparks),9,29,3.22,vs Thunder (31/08/2020),3,9.67,18.0
1229332,IECM Wong,IECM Wong (Central Sparks),10,26,2.6,vs Thunder (31/08/2020),3,8.67,20.0
1229332,S Glenn,S Glenn (Central Sparks),10,17,1.7,vs Thunder (31/08/2020),1,17.0,60.0
1229333,BA Langston,BA Langston (Northern Diamonds),7,43,6.14,vs Lightning (31/08/2020),,,
1229333,JL Gunn,JL Gunn (Northern Diamonds),10,47,4.7,vs Lightning (31/08/2020),2,23.5,30.0
1229333,KA Levick,KA Levick (Northern Diamonds),4,20,5.0,vs Lightning (31/08/2020),,,
1229333,KH Brunt,KH Brunt (Northern Diamonds),9,33,3.67,vs Lightning (31/08/2020),1,33.0,54.0
1229333,LCN Smith,LCN Smith (Northern Diamonds),10,36,3.6,vs Lightning (31/08/2020),2,18.0,30.0
1229333,NR Sciver,NR Sciver (Northern Diamonds),10,30,3.0,vs Lightning (31/08/2020),2,15.0,30.0
1229333,B Ellis,B Ellis (Lightning),10,34,3.4,vs Northern Diamonds (31/08/2020),2,17.0,30.0
1229333,G Ballinger,G Ballinger (Lightning),6,39,6.5,vs Northern Diamonds (31/08/2020),,,
1229333,KE Bryce,KE Bryce (Lightning),10,29,2.9,vs Northern Diamonds (31/08/2020),5,5.8,12.0
1229333,KL Gordon,KL Gordon (Lightning),10,31,3.1,vs Northern Diamonds (31/08/2020),,,
