match_id,season,start_date,innings,batting_team,bowling_team,bowler,wicketcounts,bowler_labels,message
1229350,2020,27-09-2020,2,Northern Diamonds,Southern Vipers,CM Taylor,6,CM Taylor (Southern Vipers),vs Northern Diamonds (27-09-2020)
1252266,2021,29-05-2021,2,Sunrisers,South East Stars,NE Farrant,5,NE Farrant (South East Stars),vs Sunrisers (29-05-2021)
1252280,2021,10-09-2021,1,Western Storm,Northern Diamonds,LCN Smith,5,LCN Smith (Northern Diamonds),vs Western Storm (10-09-2021)
1229327,2020,29-08-2020,1,Central Sparks,Northern Diamonds,KH Brunt,5,KH Brunt (Northern Diamonds),vs Central Sparks (29-08-2020)
1229335,2020,05-09-2020,2,Sunrisers,Western Storm,FMK Morris,5,FMK Morris (Western Storm),vs Sunrisers (05-09-2020)
1252275,2021,05-06-2021,2,Southern Vipers,Central Sparks,EL Arlott,5,EL Arlott (Central Sparks),vs Southern Vipers (05-06-2021)
1252264,2021,29-05-2021,1,Northern Diamonds,Central Sparks,IECM Wong,5,IECM Wong (Central Sparks),vs Northern Diamonds (29-05-2021)
1229333,2020,31-08-2020,1,Northern Diamonds,Lightning,KE Bryce,5,KE Bryce (Lightning),vs Northern Diamonds (31-08-2020)
1252289,2021,18-09-2021,2,South East Stars,Thunder,HE Jones,5,HE Jones (Thunder),vs South East Stars (18-09-2021)
1229344,2020,13-09-2020,2,Lightning,Thunder,A Hartley,4,A Hartley (Thunder),vs Lightning (13-09-2020)
1252268,2021,31-05-2021,1,Northern Diamonds,Lightning,KE Bryce,4,KE Bryce (Lightning),vs Northern Diamonds (31-05-2021)
1252272,2021,05-06-2021,1,Western Storm,South East Stars,NE Farrant,4,NE Farrant (South East Stars),vs Western Storm (05-06-2021)
1252270,2021,31-05-2021,1,South East Stars,Southern Vipers,CM Taylor,4,CM Taylor (Southern Vipers),vs South East Stars (31-05-2021)
1229331,2020,31-08-2020,1,South East Stars,Sunrisers,Sonali Patel,4,Sonali Patel (Sunrisers),vs South East Stars (31-08-2020)
1229342,2020,13-09-2020,2,Western Storm,Southern Vipers,CM Taylor,4,CM Taylor (Southern Vipers),vs Western Storm (13-09-2020)
1252293,2021,25-09-2021,1,Northern Diamonds,Southern Vipers,GL Adams,4,GL Adams (Southern Vipers),vs Northern Diamonds (25-09-2021)
1252274,2021,06-06-2021,2,Thunder,Lightning,KL Gordon,4,KL Gordon (Lightning),vs Thunder (06-06-2021)
1229330,2020,31-08-2020,2,Western Storm,Southern Vipers,TG Norris,4,TG Norris (Southern Vipers),vs Western Storm (31-08-2020)
1229346,2020,19-09-2020,1,South East Stars,Southern Vipers,LK Bell,4,LK Bell (Southern Vipers),vs South East Stars (19-09-2020)
1252269,2021,31-05-2021,2,Western Storm,Central Sparks,RA Fackrell,4,RA Fackrell (Central Sparks),vs Western Storm (31-05-2021)
1252267,2021,29-05-2021,2,Southern Vipers,Lightning,KL Gordon,4,KL Gordon (Lightning),vs Southern Vipers (29-05-2021)
