match_id,Team1,Team1_batting_score,Team1_bowling_score,Team2,Team2_batting_score,Team2_bowling_score,Winner,Team1_total_runs,Team2_total_runs,DLS
1229326,Sunrisers,0.373338242,0.237331845,Southern Vipers,0.457667265,0.623695872,Southern Vipers,202,208,No
1229327,Central Sparks,0.533350921,0.400000572,Northern Diamonds,0.473784055,0.681204628,Northern Diamonds,144,145,No
1229328,Thunder,0.390953528,0.447815369,Lightning,0.50976449,0.449314106,Thunder,150,146,Yes
1229329,South East Stars,0.394519299,0.350229714,Western Storm,0.466640912,0.301627311,Western Storm,166,167,No
1229330,Southern Vipers,0.457667265,0.623695872,Western Storm,0.455858985,0.294994383,Southern Vipers,261,239,No
1229331,South East Stars,0.394519299,0.350229714,Sunrisers,0.373338242,0.237331845,South East Stars,289,212,No
1229332,Thunder,0.390953528,0.447815369,Central Sparks,0.47735968,0.439993223,Central Sparks,135,136,No
1229333,Northern Diamonds,0.473784055,0.681204628,Lightning,0.462800717,0.449314106,Northern Diamonds,226,217,No
1229334,Thunder,0.306830139,0.375889554,Central Sparks,0.383603434,0.367784694,Central Sparks,166,167,No
1229335,Western Storm,0.430491547,0.305423489,Sunrisers,0.403505155,0.206897461,Western Storm,265,179,No
1229336,Lightning,0.46213979,0.358891643,Northern Diamonds,0.423008609,0.495599194,Northern Diamonds,226,229,No
1229337,Southern Vipers,0.384734599,0.72891317,South East Stars,0.312793704,0.328387085,Southern Vipers,209,98,No
1229338,Northern Diamonds,0.453521993,0.495599194,Thunder,0.29067885,0.430363451,Northern Diamonds,248,175,No
1229339,South East Stars,0.322135154,0.297376254,Western Storm,0.409633135,0.275227342,Western Storm,212,215,No
1229340,Southern Vipers,0.402961337,0.72891317,Sunrisers,0.383042053,0.213087539,Southern Vipers,232,183,No
1229341,Lightning,0.46213979,0.400887729,Central Sparks,0.393103499,0.406020828,Lightning,233,227,No
1229342,Southern Vipers,0.402961337,0.72891317,Western Storm,0.409633135,0.275227342,Southern Vipers,288,256,No
1229343,Sunrisers,0.357710407,0.239723482,South East Stars,0.339759863,0.390709938,South East Stars,198,199,No
1229344,Thunder,0.29067885,0.430363451,Lightning,0.46213979,0.434715683,Thunder,188,116,No
1229345,Northern Diamonds,0.453521993,0.495599194,Central Sparks,0.382568372,0.320695029,Central Sparks,217,218,No
1229346,South East Stars,0.376515704,0.388335789,Southern Vipers,0.402961337,0.678150524,Southern Vipers,227,230,No
1229347,Thunder,0.272329192,0.388321767,Northern Diamonds,0.453521993,0.599109208,Northern Diamonds,143,144,No
1229348,Lightning,0.46213979,0.47961121,Central Sparks,0.435052043,0.398144657,Lightning,303,248,No
1229349,Western Storm,0.412195416,0.257420321,Sunrisers,0.371365669,0.239723482,Western Storm,288,241,No
1229350,Southern Vipers,0.402961337,0.678150524,Northern Diamonds,0.49318236,0.599109208,Southern Vipers,231,193,No
1252264,Northern Diamonds,0.47288163,0.681204628,Central Sparks,0.457352138,0.462345674,Central Sparks,279,283,No
1252265,Thunder,0.34264906,0.440808773,Western Storm,0.548910443,0.284086795,Western Storm,291,295,No
1252266,South East Stars,0.421920145,0.377246186,Sunrisers,0.372421712,0.188569378,South East Stars,324,189,No
1252267,Lightning,0.451778015,0.501215392,Southern Vipers,0.483800956,0.601907954,Southern Vipers,214,215,No
1252268,Northern Diamonds,0.47288163,0.590633366,Lightning,0.431489806,0.565518735,Northern Diamonds,151,145,No
1252269,Central Sparks,0.457352138,0.462345674,Western Storm,0.548910443,0.284086795,Central Sparks,295,254,No
1252270,South East Stars,0.421920145,0.377246186,Southern Vipers,0.448196757,0.61971186,Southern Vipers,137,138,No
1252271,Thunder,0.34264906,0.440808773,Sunrisers,0.409883422,0.225902662,Thunder,247,211,No
1252272,Western Storm,0.548910443,0.284086795,South East Stars,0.421920145,0.377246186,South East Stars,245,249,No
1252273,Sunrisers,0.381243481,0.177185053,Northern Diamonds,0.47288163,0.681204628,Northern Diamonds,53,54,No
1252274,Lightning,0.480409216,0.477567574,Thunder,0.34264906,0.440808773,Lightning,259,125,No
