player,innings_batted,runs,50s,100s,strike_rate,batting_average,innings_batted_scaled,runs_scaled,50s_scaled,100s_scaled,strike_rate_scaled,batting_average_scaled,batter_score,batter_score_scaled
AE Jones,5,320,0,2,77.83,80.0,-0.35663093566952414,1.2950954292532035,-0.5414927144714782,5.395079122878244,1.058725722353878,3.700995587821404,1.7595849788358602,0.6765972544182981
Anisha Patel,3,4,0,0,51.11,2.0,-0.8487504800868589,-0.8705393953081854,-0.5414927144714782,-0.26885776359858365,-0.12361826224142904,-1.1556376304718987,-0.730548954339195,0.11579495470922108
CAE Hill,6,83,0,0,61.42,20.75,-0.11057116346085678,-0.32913068916783816,-0.5414927144714782,-0.26885776359858365,0.3325930581619249,0.011822277771683749,-0.12527182501535136,0.2521092314490728
CK Boycott,7,101,0,0,49.4,16.83,0.13548860874781057,-0.20577174346497423,-0.5414927144714782,-0.26885776359858365,-0.19928473730347904,-0.23225467371177466,-0.21264826022840172,0.23243121126106592
D Perrin,4,92,0,0,63.69,23.0,-0.6026907078781916,-0.26745121631640617,-0.5414927144714782,-0.26885776359858365,0.43303919757178055,0.15191746676091364,-0.07401377377325663,0.263653041455517
E Jones,14,633,4,2,55.05,52.75,1.8579070142084821,3.440170429530782,2.6272424294727275,5.395079122878244,0.05072437620563335,2.0042871878407307,2.4530904344260973,0.8327814054691225
EA Russell,5,12,0,0,68.67,4.0,-0.35663093566952414,-0.8157131972180237,-0.5414927144714782,-0.26885776359858365,0.6534012126647684,-1.0311085735925831,-0.5009614816206529,0.16750027905729184
EL Arlott,8,108,0,0,71.68,21.6,0.381548380956478,-0.1577988201360827,-0.5414927144714782,-0.26885776359858365,0.786591908534225,0.0647471269453929,0.07781823317900718,0.2978470811952615
GK Davis,4,24,0,0,74.26,8.0,-0.6026907078781916,-0.733473900082781,-0.5414927144714782,-0.26885776359858365,0.900755362136616,-0.7820504598339523,-0.37697433387413143,0.19542338659149622
GM Davies,14,362,2,0,46.88,25.86,1.8579070142084821,1.5829329692265528,1.0428748575006246,-0.26885776359858365,-0.3107932268686051,0.32999401809833473,0.8477561998034208,0.4712445746247636
HL Baker,1,5,0,0,62.5,5.0,-1.3408700245041936,-0.8636861205469152,-0.5414927144714782,-0.26885776359858365,0.38038241083269325,-0.9688440451529254,-0.613912106238871,0.14206270351343034
IECM Wong,9,57,0,0,64.18,7.12,0.6276081531651453,-0.5073158329608638,-0.5414927144714782,-0.26885776359858365,0.4547214038761111,-0.836843244860851,-0.3138536092745826,0.20963878562812377
M Home,7,50,0,0,27.18,7.14,0.13548860874781057,-0.5552887562897554,-0.5414927144714782,-0.26885776359858365,-1.1825064191039176,-0.8355979542920579,-0.6872439084756976,0.12554767081244328
Marie Kelly,13,405,4,0,52.95,36.82,1.6118472419998149,1.8776237839611722,2.6272424294727275,-0.26885776359858365,-0.04219936509863828,1.0124132497969835,1.2374850751158948,0.5590152951576912
P Davies,5,47,0,0,33.41,15.67,-0.35663093566952414,-0.575848580573566,-0.5414927144714782,-0.26885776359858365,-0.906832653234578,-0.3044815267017775,-0.5597437679323551,0.15426193837746843
RA Fackrell (CF),7,75,0,0,56.56,12.5,0.13548860874781057,-0.3839568872579999,-0.5414927144714782,-0.26885776359858365,0.11754097114346718,-0.5018600818554925,-0.2833875148746176,0.2165000454081828
S Butler,4,57,0,0,37.36,14.25,-0.6026907078781916,-0.5073158329608638,-0.5414927144714782,-0.26885776359858365,-0.7320475207813045,-0.39289715708609146,-0.5239331197032806,0.1623268434869423
S Glenn,6,141,1,0,60.94,28.2,-0.11057116346085678,0.06835924698583451,0.25069107151457326,-0.26885776359858365,0.3113533458638055,0.47569301464713376,0.18173404046857003,0.3212499282982713
TF Brookes,6,100,0,0,60.33,25.0,-0.11057116346085678,-0.21262501822624444,-0.5414927144714782,-0.26885776359858365,0.2843612114849456,0.2764465236402291,-0.02956579325332099,0.27366315752233494
AD Presland,2,9,0,0,37.84,9.0,-1.0948102522955263,-0.8362730215018344,-0.5414927144714782,-0.26885776359858365,-0.710807808483185,-0.7197859313942946,-0.7576996441696008,0.1096803561758943
AJ Freeborn,12,272,0,0,53.74,22.67,1.3657874697911474,0.9661382407122331,-0.5414927144714782,-0.26885776359858365,-0.007242338607983659,0.13137017237582668,0.4873596246601278,0.39007977242075875
B Ellis,7,124,1,0,49.11,17.71,0.13548860874781057,-0.0481464239557592,0.25069107151457326,-0.26885776359858365,-0.21211706348359274,-0.1774618886848757,-0.09371558538059532,0.25921600250326166
B Harmer,3,21,0,0,68.05,7.0,-0.8487504800868589,-0.7540337243665917,-0.5414927144714782,-0.26885776359858365,0.6259665842796974,-0.84431498827361,-0.4659399046715948,0.17538747766569274
E Claridge,3,46,0,0,44.48,23.0,-0.8487504800868589,-0.5827018553348362,-0.5414927144714782,-0.26885776359858365,-0.4169917883592018,0.15191746676091364,-0.39818574712818,0.19064637071517235
G Ballinger,4,29,0,0,72.12,9.67,-0.6026907078781916,-0.6992075262764299,-0.5414927144714782,-0.26885776359858365,0.8060616448075009,-0.6780686973397239,-0.3596968566282508,0.1993144419454172
Ilenia Sims,1,1,0,0,14.29,,-1.3408700245041936,-0.8910992195919961,-0.5414927144714782,-0.26885776359858365,-1.7528811931096628,,-1.24471401065491,0.0
J Groves,1,2,0,0,66.67,,-1.3408700245041936,-0.8842459448307258,-0.5414927144714782,-0.26885776359858365,0.5649024114226047,,-1.24471401065491,0.0
KE Bryce,13,494,3,1,58.93,41.17,1.6118472419998149,2.4875652377142217,1.835058643486676,2.56311067963983,0.22241205061543104,1.2832639485094948,1.7210403850527012,0.6679166382687136
KL Gordon,6,59,0,0,57.1,11.8,-0.11057116346085678,-0.4936092834383234,-0.5414927144714782,-0.26885776359858365,0.14143564747885135,-0.5454452517632529,-0.34897218048067175,0.2017297429728317
LF Higham,11,143,0,0,51.77,14.3,1.1197276975824801,0.08206579650837495,-0.5414927144714782,-0.26885776359858365,-0.09441365783151486,-0.38978393066410855,-0.04444104829473504,0.270313105894651
LG Kellogg,2,1,0,0,6.25,1.0,-1.0948102522955263,-0.8910992195919961,-0.5414927144714782,-0.26885776359858365,-2.1086463741031607,-1.2179021589115564,-1.1615623919376212,0.01872655056016606
ML Kirk,3,71,1,0,40.09,23.67,-0.8487504800868589,-0.4113699863030808,0.25069107151457326,-0.26885776359858365,-0.6112466570857509,0.19363470081548442,-0.3119847436989831,0.21005967227148076
