player,overs_bowled,wickets_taken,econ_rate,bowling_average,bowler_strikerate,inv_econ_rate,inv_bowling_average,inv_bowler_strikerate,overs_bowled_scaled,wickets_taken_scaled,econ_rate_scaled,bowling_average_scaled,bowler_strikerate_scaled,bowler_score,bowler_score_scaled
A Capsey,69.0,7.0,4.62,21.1,31.8,0.21645021645021645,0.04739336492890995,0.031446540880503145,0.7365539096910573,-0.13230576734960472,0.19349716329300326,-0.046230479515169634,-0.2988970738520729,-0.0194894536371246,0.33726593784390335
A Griffiths,39.0,3.0,5.32,21.25,28.5,0.18796992481203006,0.047058823529411764,0.03508771929824561,-0.16567763845402192,-0.7269384295950195,-0.4337752829466374,-0.06312369421421006,-0.008172009558841726,-0.41819743006332605,0.18131330098020118
A Hartley,123.0,21.0,3.85,18.9,28.8,0.2597402597402597,0.052910052910052914,0.034722222222222224,2.3605706963521995,1.9489085505093469,1.1469512815772565,0.23234369585701628,-0.037354639118578684,1.2135781339264284,0.8195741761574996
A Shrubsole,38.0,4.0,3.76,22.34,40.0,0.26595744680851063,0.044762757385854966,0.025,-0.19575202339219122,-0.5782802640336658,1.2838835219691442,-0.17906730652791764,-0.8136125854075892,-0.06903081008111586,0.3178880833036016
AD Presland,27.0,5.0,4.73,24.89,30.67,0.2114164904862579,0.040176777822418644,0.032605151613955004,-0.5265702577120536,-0.4296220984723121,0.08263040535297338,-0.41064383931802967,-0.20638933560659065,-0.2700747271749772,0.23925075761669365
AE Dyson,33.0,4.0,5.72,34.67,34.0,0.17482517482517484,0.028843380444188056,0.029411764705882353,-0.34612394808303776,-0.5782802640336658,-0.7232856427495478,-0.982942261776891,-0.4613610803688787,-0.6460852150268706,0.09217613023019161
AG Gordon,18.0,1.0,5.08,22.0,24.0,0.19685039370078738,0.045454545454545456,0.041666666666666664,-0.7972397221555774,-1.0242547607177268,-0.23818481939474967,-0.14413433743006354,0.5171153225164286,-0.4531629474806022,0.16763671319431012
AJ Macleod,46.0,6.0,5.93,22.6,27.6,0.16863406408094436,0.04424778761061947,0.036231884057971016,0.04484305611316322,-0.28096393291095845,-0.859643557577462,-0.20507154692871454,0.08318230906294467,-0.3433376954329562,0.21059431290067393
AL MacDonald,26.0,4.0,4.35,21.83,36.0,0.2298850574712644,0.04580852038479157,0.027777777777777776,-0.5566446426502228,-0.5782802640336658,0.4893967172432895,-0.12625979483624644,-0.5918246007535864,-0.24450781777363007,0.24925112674232483
AN Davidson-Richards,44.0,5.0,6.12,18.5,21.0,0.16339869281045752,0.05405405405405406,0.047619047619047616,-0.01530571376317539,-0.4296220984723121,-0.9749515110749545,0.290111903231494,0.9923752896321492,-0.22397892391627572,0.25728090120945807
AZ Monaghan,6.0,1.0,5.5,13.0,12.0,0.18181818181818182,0.07692307692307693,0.08333333333333333,-1.1581323414136089,-1.0242547607177268,-0.5692661313343994,1.4449205871886028,3.8439350923264732,0.18340329773589037,0.41662642584008447
Anisha Patel,50.0,9.0,5.18,23.77,35.2,0.19305019305019305,0.04206983592763988,0.028409090909090908,0.16514059586584043,0.16501056377310264,-0.32188344118497153,-0.3150507765245128,-0.5414182406049494,-0.13467995756312912,0.292209746618584
B Ellis,50.0,6.0,4.95,19.78,29.33,0.20202020202020202,0.05055611729019211,0.03409478349812479,0.16514059586584043,-0.28096393291095845,-0.1243208761350813,0.1134778697629186,-0.08745165235870044,-0.13130482979422894,0.29352991101566955
BA Langston,133.0,25.0,3.81,19.69,29.31,0.26246719160104987,0.05078720162519045,0.0341180484476288,2.6613145457338927,2.5435412127547616,1.2070113835164225,0.12514685091313685,-0.08559409330381451,1.4581679719091034,0.9152442716629107
BF Smith,65.0,16.0,4.7,19.6,29.38,0.2127659574468085,0.0510204081632653,0.03403675970047652,0.6162563699383801,1.2056177227025784,0.11235213194966262,0.1369229961759587,-0.09208448556995787,0.5478737171562662,0.5591872130029364
C Brewer,8.0,1.0,4.75,26.0,24.0,0.21052631578947367,0.038461538461538464,0.041666666666666664,-1.0979835715372703,-1.0242547607177268,0.06302449447515783,-0.49725765401198935,0.5171153225164286,-0.4458663089694989,0.17049075696400737
C Nicholas,40.0,5.0,4.21,29.25,42.75,0.23752969121140144,0.03418803418803419,0.023391812865497075,-0.13560325351585262,-0.4296220984723121,0.6577681710086141,-0.7130552363676106,-0.9420161554704333,-0.2624476680882705,0.2422340437469307
C Skelton,6.0,,5.84,,,0.17123287671232876,,,-1.1581323414136089,,-0.8024052547778783,,,-0.8817423933726094,0.0
CE Dean,98.0,19.0,4.31,18.56,28.67,0.2320185614849188,0.05387931034482759,0.034879665155214505,1.608711072897967,1.6515922193866395,0.5363866953905891,0.28128793405548946,-0.02478381682828429,0.9136447328312822,0.7022567219055044
CK Boycott,62.0,8.0,4.81,17.75,21.75,0.2079002079002079,0.056338028169014086,0.04597701149425287,0.5260332151238721,0.016352398211748952,0.005185019349128116,0.40544490879955347,0.861269091807123,0.22414597496917668,0.4325627208808078
CM Taylor,116.0,28.0,3.53,18.92,35.0,0.28328611898017,0.05285412262156448,0.02857142857142857,2.1500500017850146,2.9895157094388227,1.6655438898225168,0.2295194045345321,-0.528456605138157,1.6748541762298654,1.0
D Gregory,72.0,11.0,4.28,19.11,30.33,0.2336448598130841,0.052328623757195186,0.032970656116056714,0.8267770645055652,0.46232689489581,0.5722055747610479,0.202983480570537,-0.17720611312147352,0.3731876099912238,0.4908596132392379
D Perrin,1.0,,10.0,,,0.1,,,-1.3085042661044555,,-2.3712944148916386,,,-0.8817423933726094,0.0
DN Wyatt,19.0,4.0,4.43,11.16,19.0,0.22573363431151244,0.08960573476702509,0.05263157894736842,-0.767165337217408,-0.5782802640336658,0.397962493399108,2.0853521219214146,1.3925942093085455,0.35151220055993415,0.48238138492233934
DR Gibson,38.0,3.0,6.87,27.5,27.0,0.14556040756914118,0.03636363636363636,0.037037037037037035,-0.19575202339219122,-0.7269384295950195,-1.3678359998362333,-0.6031946489865673,0.14746868142642353,-0.7108808681006973,0.06683163362707609
E Corney,20.0,2.0,4.41,19.5,30.0,0.22675736961451246,0.05128205128205128,0.03333333333333333,-0.7370909522792387,-0.8755965951563732,0.4205100485987776,0.15013509305487452,-0.14824863144558034,-0.2816827042854227,0.2347103552519004
E Gray,11.0,2.0,5.23,16.5,21.0,0.19120458891013384,0.06060606060606061,0.047619047619047616,-1.0077604167227625,-0.8755965951563732,-0.36253248503720203,0.6209661818307758,0.9923752896321492,-0.2492585594385492,0.24739289782916554
E Jones,20.0,3.0,6.12,7.75,12.0,0.16339869281045752,0.12903225806451613,0.08333333333333333,-0.7370909522792387,-0.7269384295950195,-0.9749515110749545,4.076258849460373,3.8439350923264732,0.6166612940473185,0.5860931307018512
