match_id,season,start_date,batting_team,bowling_team,bowler,wicket_type,player_dismissed
1229326,2020,29-08-2020,Sunrisers,Southern Vipers,LK Bell,caught,AD Carr
1229326,2020,29-08-2020,Sunrisers,Southern Vipers,TG Norris,run out,KL Midwood
1229326,2020,29-08-2020,Sunrisers,Southern Vipers,TG Norris,caught,FC Wilson
1229326,2020,29-08-2020,Sunrisers,Southern Vipers,DN Wyatt,lbw,ND Dattani
1229326,2020,29-08-2020,Sunrisers,Southern Vipers,CE Dean,caught,G Scrivens
1229326,2020,29-08-2020,Sunrisers,Southern Vipers,CE Dean,caught and bowled,AJ Macleod
1229326,2020,29-08-2020,Sunrisers,Southern Vipers,PJ Scholfield,caught and bowled,J Gardner
1229326,2020,29-08-2020,Sunrisers,Southern Vipers,CE Dean,run out,MK Villiers
1229326,2020,29-08-2020,Sunrisers,Southern Vipers,PJ Scholfield,caught,Sonali Patel
1229326,2020,29-08-2020,Sunrisers,Southern Vipers,PJ Scholfield,caught,KJ Wolfe
1229326,2020,29-08-2020,Southern Vipers,Sunrisers,MK Villiers,lbw,GL Adams
1229326,2020,29-08-2020,Southern Vipers,Sunrisers,AJ Macleod,caught,DN Wyatt
1229326,2020,29-08-2020,Southern Vipers,Sunrisers,KS Castle,caught,ME Bouchier
1229329,2020,29-08-2020,South East Stars,Western Storm,KL George,caught,BF Smith
1229329,2020,29-08-2020,South East Stars,Western Storm,GM Hennessy,caught,A Capsey
1229329,2020,29-08-2020,South East Stars,Western Storm,C Nicholas,caught,SIR Dunkley
1229329,2020,29-08-2020,South East Stars,Western Storm,GM Hennessy,caught,AN Davidson-Richards
1229329,2020,29-08-2020,South East Stars,Western Storm,GM Hennessy,caught,A Cranstone
1229329,2020,29-08-2020,South East Stars,Western Storm,FMK Morris,bowled,HV Jones
1229329,2020,29-08-2020,South East Stars,Western Storm,FMK Morris,caught and bowled,SE Rowe
1229329,2020,29-08-2020,South East Stars,Western Storm,FMK Morris,bowled,R Southby
1229329,2020,29-08-2020,South East Stars,Western Storm,GM Hennessy,bowled,FR Davies
1229329,2020,29-08-2020,South East Stars,Western Storm,GM Hennessy,run out,NE Farrant
1229329,2020,29-08-2020,Western Storm,South East Stars,GJ Gibbs,run out,FMK Morris
1229329,2020,29-08-2020,Western Storm,South East Stars,BF Smith,caught,SN Luff
1229329,2020,29-08-2020,Western Storm,South East Stars,SIR Dunkley,caught,GM Hennessy
1229329,2020,29-08-2020,Western Storm,South East Stars,NE Farrant,bowled,NAJ Wraith
1229330,2020,31-08-2020,Southern Vipers,Western Storm,FMK Morris,bowled,DN Wyatt
1229330,2020,31-08-2020,Southern Vipers,Western Storm,HC Knight,caught,ME Bouchier
1229330,2020,31-08-2020,Southern Vipers,Western Storm,C Nicholas,run out,GL Adams
1229330,2020,31-08-2020,Southern Vipers,Western Storm,C Nicholas,caught,PJ Scholfield
1229330,2020,31-08-2020,Southern Vipers,Western Storm,HC Knight,caught,E Windsor
1229330,2020,31-08-2020,Southern Vipers,Western Storm,KL George,bowled,EM McCaughan
1229330,2020,31-08-2020,Southern Vipers,Western Storm,GM Hennessy,stumped,CE Rudd
1229330,2020,31-08-2020,Western Storm,Southern Vipers,LK Bell,bowled,FMK Morris
1229330,2020,31-08-2020,Western Storm,Southern Vipers,GL Adams,caught,SN Luff
1229330,2020,31-08-2020,Western Storm,Southern Vipers,TG Norris,caught,GM Hennessy
1229330,2020,31-08-2020,Western Storm,Southern Vipers,TG Norris,bowled,HC Knight
1229330,2020,31-08-2020,Western Storm,Southern Vipers,TG Norris,caught,KL George
1229330,2020,31-08-2020,Western Storm,Southern Vipers,TG Norris,caught,A Griffiths
1229330,2020,31-08-2020,Western Storm,Southern Vipers,LK Bell,bowled,NAJ Wraith
1229330,2020,31-08-2020,Western Storm,Southern Vipers,PJ Scholfield,bowled,E Corney
1229330,2020,31-08-2020,Western Storm,Southern Vipers,GL Adams,caught,C Nicholas
1229330,2020,31-08-2020,Western Storm,Southern Vipers,GL Adams,caught,N Holland
1229331,2020,31-08-2020,South East Stars,Sunrisers,KJ Wolfe,caught,BF Smith
1229331,2020,31-08-2020,South East Stars,Sunrisers,KJ Wolfe,bowled,A Cranstone
1229331,2020,31-08-2020,South East Stars,Sunrisers,J Gardner,bowled,A Capsey
